identifier	page
NCBITaxon:1001719	taxa/bacteria/mycobacteroides_abscessus_3a_0930_s.html
NCBITaxon:1001720	taxa/bacteria/mycobacteroides_abscessus_3a_0930_r.html
NCBITaxon:1001721	taxa/bacteria/mycobacteroides_abscessus_3a_0119_r.html
NCBITaxon:1001722	taxa/bacteria/mycobacteroides_abscessus_4s_0303.html
NCBITaxon:1001723	taxa/bacteria/mycobacteroides_abscessus_4s_0206.html
NCBITaxon:1001724	taxa/bacteria/mycobacteroides_abscessus_4s_0116_s.html
NCBITaxon:1001725	taxa/bacteria/mycobacteroides_abscessus_4s_0116_r.html
NCBITaxon:1001726	taxa/bacteria/mycobacteroides_abscessus_4s_0726_ra.html
NCBITaxon:1001727	taxa/bacteria/mycobacteroides_abscessus_4s_0726_rb.html
NCBITaxon:1001728	taxa/bacteria/mycobacteroides_abscessus_5s_0304.html
NCBITaxon:1001729	taxa/bacteria/mycobacteroides_abscessus_5s_0421.html
NCBITaxon:1001730	taxa/bacteria/mycobacteroides_abscessus_5s_0708.html
NCBITaxon:1001731	taxa/bacteria/mycobacteroides_abscessus_5s_0422.html
NCBITaxon:1001732	taxa/bacteria/mycobacteroides_abscessus_5s_0921.html
NCBITaxon:1001733	taxa/bacteria/mycobacteroides_abscessus_5s_1212.html
NCBITaxon:1001734	taxa/bacteria/mycobacteroides_abscessus_5s_1215.html
NCBITaxon:1001735	taxa/bacteria/mycobacteroides_abscessus_5s_0817.html
NCBITaxon:1001736	taxa/bacteria/mycobacteroides_abscessus_6g_0728_s.html
NCBITaxon:1001737	taxa/bacteria/mycobacteroides_abscessus_6g_0728_r.html
NCBITaxon:1001738	taxa/bacteria/mycobacteroides_abscessus_6g_1108.html
NCBITaxon:1001739	taxa/bacteria/mycobacteroides_abscessus_6g_0212.html
NCBITaxon:100174	taxa/bacteria/clostridium_peptidivorans.html
NCBITaxon:1001740	taxa/bacteria/mycobacteroides_abscessus_6g_0125_r.html
NCBITaxon:1001741	taxa/bacteria/mycobacteroides_abscessus_6g_0125_s.html
NCBITaxon:1001744	taxa/bacteria/streptococcus_pneumoniae_pt8114.html
NCBITaxon:1001745	taxa/bacteria/streptococcus_pneumoniae_07ar0125.html
NCBITaxon:1001746	taxa/bacteria/streptococcus_pneumoniae_br1064.html
NCBITaxon:1001747	taxa/bacteria/streptococcus_pneumoniae_nd6012.html
NCBITaxon:100176	taxa/bacteria/papillibacter_cinnamivorans.html
NCBITaxon:1001760	taxa/bacteria/arcobacter_sp_scgc_aaa036_d18.html
NCBITaxon:1001761	taxa/bacteria/arcobacter_sp_scgc_aaa036_f23.html
NCBITaxon:1001762	taxa/bacteria/sulfurovum_sp_scgc_aaa036_b05.html
NCBITaxon:1001768	taxa/bacteria/sulfurimonas_sp_scgc_aaa036_ap22.html
NCBITaxon:100177	taxa/bacteria/borrelia_lusitaniae.html
NCBITaxon:1001822	taxa/bacteria/cupriavidus_agavae.html
NCBITaxon:1001986	taxa/bacteria/leptospira_interrogans_serovar_copenhageni_str_2006007831.html
NCBITaxon:1001987	taxa/bacteria/leptospira_interrogans_serovar_copenhageni_str_2001025091.html
NCBITaxon:1001988	taxa/bacteria/escherichia_coli_pcn009.html
NCBITaxon:1001989	taxa/bacteria/escherichia_coli_pcn033.html
NCBITaxon:1001990	taxa/bacteria/escherichia_coli_pcn042.html
NCBITaxon:1001991	taxa/bacteria/escherichia_coli_pcn079.html
