source_strain_id	source_deposit_id	accession	reason	value
straininfo.strain:394347	straininfo.deposit:900170		conflicting_bacdive_reference_not_used	bacdive:130149; deposit matches kgmicrobe.strain:bacdive_130276
straininfo.strain:395465	straininfo.deposit:900507		conflicting_bacdive_reference_not_used	bacdive:138948; deposit matches kgmicrobe.strain:bacdive_6015
straininfo.strain:39625	straininfo.deposit:182660		conflicting_bacdive_reference_not_used	bacdive:148408; deposit matches kgmicrobe.strain:bacdive_165441
straininfo.strain:39625	straininfo.deposit:182661		conflicting_bacdive_reference_not_used	bacdive:148408; deposit matches kgmicrobe.strain:bacdive_165441
straininfo.strain:39625	straininfo.deposit:335264		conflicting_bacdive_reference_not_used	bacdive:148408; deposit matches kgmicrobe.strain:bacdive_165441
straininfo.strain:396468	straininfo.deposit:902294		conflicting_bacdive_reference_not_used	bacdive:132435; deposit matches kgmicrobe.strain:bacdive_131309
straininfo.strain:396474	straininfo.deposit:902329		conflicting_bacdive_reference_not_used	bacdive:132437; deposit matches kgmicrobe.strain:bacdive_132402
straininfo.strain:39733	straininfo.deposit:753653		conflicting_bacdive_reference_not_used	bacdive:16321; deposit matches kgmicrobe.strain:bacdive_15246
straininfo.strain:397595	straininfo.deposit:23813		conflicting_bacdive_reference_not_used	bacdive:130376; deposit matches kgmicrobe.strain:bacdive_170719
straininfo.strain:398520	straininfo.deposit:912390		conflicting_bacdive_reference_not_used	bacdive:13278; deposit matches kgmicrobe.strain:bacdive_13277
straininfo.strain:39906	straininfo.deposit:107768		conflicting_bacdive_reference_not_used	bacdive:7803; deposit matches kgmicrobe.strain:bacdive_7820
straininfo.strain:39906	straininfo.deposit:168920		conflicting_bacdive_reference_not_used	bacdive:7803; deposit matches kgmicrobe.strain:bacdive_7820
straininfo.strain:39906	straininfo.deposit:168921		conflicting_bacdive_reference_not_used	bacdive:7803; deposit matches kgmicrobe.strain:bacdive_7820
straininfo.strain:39906	straininfo.deposit:168922		conflicting_bacdive_reference_not_used	bacdive:7803; deposit matches kgmicrobe.strain:bacdive_7820
straininfo.strain:39906	straininfo.deposit:176475		conflicting_bacdive_reference_not_used	bacdive:7803; deposit matches kgmicrobe.strain:bacdive_7820
straininfo.strain:39906	straininfo.deposit:221634		conflicting_bacdive_reference_not_used	bacdive:7803; deposit matches kgmicrobe.strain:bacdive_7820
straininfo.strain:39906	straininfo.deposit:333656		conflicting_bacdive_reference_not_used	bacdive:7803; deposit matches kgmicrobe.strain:bacdive_7820
straininfo.strain:39928	straininfo.deposit:107827		conflicting_bacdive_reference_not_used	bacdive:16010; deposit matches kgmicrobe.strain:bacdive_15937
straininfo.strain:39928	straininfo.deposit:691372		conflicting_bacdive_reference_not_used	bacdive:16010; deposit matches kgmicrobe.strain:bacdive_15937
straininfo.strain:399665	straininfo.deposit:923828		conflicting_bacdive_reference_not_used	bacdive:160803; deposit matches kgmicrobe.strain:bacdive_160804
straininfo.strain:400046	straininfo.deposit:909366		conflicting_bacdive_reference_not_used	bacdive:131129; deposit matches kgmicrobe.strain:bacdive_14102
straininfo.strain:400320	straininfo.deposit:907179		conflicting_bacdive_reference_not_used	bacdive:166825; deposit matches kgmicrobe.strain:bacdive_169772
straininfo.strain:402299	straininfo.deposit:909297		conflicting_bacdive_reference_not_used	bacdive:158145; deposit matches kgmicrobe.strain:bacdive_134300
straininfo.strain:40240	straininfo.deposit:108609		conflicting_bacdive_reference_not_used	bacdive:5102; deposit matches kgmicrobe.strain:bacdive_136222
straininfo.strain:40240	straininfo.deposit:108611		conflicting_bacdive_reference_not_used	bacdive:5102; deposit matches kgmicrobe.strain:bacdive_136222
straininfo.strain:402665	straininfo.deposit:909685		conflicting_bacdive_reference_not_used	bacdive:167024; deposit matches kgmicrobe.strain:bacdive_160723
straininfo.strain:4029	straininfo.deposit:233600		conflicting_bacdive_reference_not_used	bacdive:133564; deposit matches kgmicrobe.strain:bacdive_135770
straininfo.strain:40356	straininfo.deposit:147551		conflicting_bacdive_reference_not_used	bacdive:136180; deposit matches kgmicrobe.strain:bacdive_149798
straininfo.strain:40356	straininfo.deposit:147552		conflicting_bacdive_reference_not_used	bacdive:136180; deposit matches kgmicrobe.strain:bacdive_149798
straininfo.strain:40390	straininfo.deposit:109015		conflicting_bacdive_reference_not_used	bacdive:16536; deposit matches kgmicrobe.strain:bacdive_16777
straininfo.strain:40390	straininfo.deposit:109017		conflicting_bacdive_reference_not_used	bacdive:16536; deposit matches kgmicrobe.strain:bacdive_16777
straininfo.strain:40390	straininfo.deposit:168853		conflicting_bacdive_reference_not_used	bacdive:16536; deposit matches kgmicrobe.strain:bacdive_16777
straininfo.strain:40390	straininfo.deposit:168854		conflicting_bacdive_reference_not_used	bacdive:16536; deposit matches kgmicrobe.strain:bacdive_16777
straininfo.strain:40390	straininfo.deposit:168855		conflicting_bacdive_reference_not_used	bacdive:16536; deposit matches kgmicrobe.strain:bacdive_16777
straininfo.strain:40390	straininfo.deposit:176591		conflicting_bacdive_reference_not_used	bacdive:16536; deposit matches kgmicrobe.strain:bacdive_16777
straininfo.strain:40390	straininfo.deposit:176593		conflicting_bacdive_reference_not_used	bacdive:16536; deposit matches kgmicrobe.strain:bacdive_16777
straininfo.strain:40390	straininfo.deposit:223556		conflicting_bacdive_reference_not_used	bacdive:16536; deposit matches kgmicrobe.strain:bacdive_16777
straininfo.strain:40390	straininfo.deposit:333719		conflicting_bacdive_reference_not_used	bacdive:16536; deposit matches kgmicrobe.strain:bacdive_16777
straininfo.strain:40435	straininfo.deposit:53765		conflicting_bacdive_reference_not_used	bacdive:14120; deposit matches kgmicrobe.strain:bacdive_14121
straininfo.strain:404879	straininfo.deposit:912056		conflicting_bacdive_reference_not_used	bacdive:158144; deposit matches kgmicrobe.strain:bacdive_134301
straininfo.strain:40509	straininfo.deposit:152354		conflicting_bacdive_reference_not_used	bacdive:6729; deposit matches kgmicrobe.strain:bacdive_142617
straininfo.strain:4055	straininfo.deposit:215015		conflicting_bacdive_reference_not_used	bacdive:12851; deposit matches kgmicrobe.strain:bacdive_157428
straininfo.strain:40609	straininfo.deposit:142663		conflicting_bacdive_reference_not_used	bacdive:11314; deposit matches kgmicrobe.strain:bacdive_141521
straininfo.strain:40609	straininfo.deposit:142664		conflicting_bacdive_reference_not_used	bacdive:11314; deposit matches kgmicrobe.strain:bacdive_141521
straininfo.strain:406594	straininfo.deposit:915304		conflicting_bacdive_reference_not_used	bacdive:24501; deposit matches kgmicrobe.strain:bacdive_130626
straininfo.strain:406732	straininfo.deposit:914054		conflicting_bacdive_reference_not_used	bacdive:167931; deposit matches kgmicrobe.strain:bacdive_169301
straininfo.strain:407612	straininfo.deposit:915002		conflicting_bacdive_reference_not_used	bacdive:167092; deposit matches kgmicrobe.strain:bacdive_169300
straininfo.strain:407853	straininfo.deposit:916964		conflicting_bacdive_reference_not_used	bacdive:169374; deposit matches kgmicrobe.strain:bacdive_156855
straininfo.strain:4084	straininfo.deposit:214971		conflicting_bacdive_reference_not_used	bacdive:17532; deposit matches kgmicrobe.strain:bacdive_157519
straininfo.strain:40897	straininfo.deposit:110275		conflicting_bacdive_reference_not_used	bacdive:13257; deposit matches kgmicrobe.strain:bacdive_13218
straininfo.strain:40897	straininfo.deposit:169947		conflicting_bacdive_reference_not_used	bacdive:13257; deposit matches kgmicrobe.strain:bacdive_13218
straininfo.strain:40897	straininfo.deposit:169948		conflicting_bacdive_reference_not_used	bacdive:13257; deposit matches kgmicrobe.strain:bacdive_13218
straininfo.strain:4102	straininfo.deposit:398477		conflicting_bacdive_reference_not_used	bacdive:1911; deposit matches kgmicrobe.strain:bacdive_1913
straininfo.strain:41060	straininfo.deposit:115678		conflicting_bacdive_reference_not_used	bacdive:14344; deposit matches kgmicrobe.strain:bacdive_14324
straininfo.strain:41060	straininfo.deposit:115680		conflicting_bacdive_reference_not_used	bacdive:14344; deposit matches kgmicrobe.strain:bacdive_14324
straininfo.strain:41102	straininfo.deposit:134753		conflicting_bacdive_reference_not_used	bacdive:165317; deposit matches kgmicrobe.strain:bacdive_143726
straininfo.strain:41104	straininfo.deposit:134748		conflicting_bacdive_reference_not_used	bacdive:165318; deposit matches kgmicrobe.strain:bacdive_143724
straininfo.strain:41191	straininfo.deposit:110970		conflicting_bacdive_reference_not_used	bacdive:16811; deposit matches kgmicrobe.strain:bacdive_16812
straininfo.strain:41191	straininfo.deposit:158241		conflicting_bacdive_reference_not_used	bacdive:16811; deposit matches kgmicrobe.strain:bacdive_16812
straininfo.strain:412343	straininfo.deposit:920512		conflicting_bacdive_reference_not_used	bacdive:16012; deposit matches kgmicrobe.strain:bacdive_132886
straininfo.strain:413326	straininfo.deposit:921651		conflicting_bacdive_reference_not_used	bacdive:172757; deposit matches kgmicrobe.strain:bacdive_135567
