strain_id	assembly_id	source	source_id	source_reference_id	assembly_level	assembly_name	taxon_id	source_field	matched_strain_id	source_strain_identifiers	source_strain_field	source_organism_id	source_project_id	straininfo_evidence_json
kgmicrobe.strain:bacdive_1619	ncbi.assembly:GCA_000613685	STRAININFO	straininfo.strain:138974		contig	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988	NCBITaxon:291644	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-18765	DSM 18765	deposits.designation			"{""deposit_designation"":""DSM 18765"",""deposit_id"":""straininfo.deposit:691101"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:691101"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:1619"",""strain_doi"":""DOI:10.60712/SI-ID138974.3"",""strain_id"":""straininfo.strain:138974"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_1619	ncbi.assembly:GCA_000613685	STRAININFO	straininfo.strain:138974		contig	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988	NCBITaxon:291644	strain.sequence.accessionNumber	kgmicrobe.strain:JCM-12988	JCM 12988	deposits.designation			"{""deposit_designation"":""JCM 12988"",""deposit_id"":""straininfo.deposit:533116"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:533116"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:1619"",""strain_doi"":""DOI:10.60712/SI-ID138974.3"",""strain_id"":""straininfo.strain:138974"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_1619	ncbi.assembly:GCA_900624765	STRAININFO	straininfo.strain:138974		contig	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 Bacteroides salyersiae 82A3	NCBITaxon:291644	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-18765	DSM 18765	deposits.designation			"{""deposit_designation"":""DSM 18765"",""deposit_id"":""straininfo.deposit:691101"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:691101"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:1619"",""strain_doi"":""DOI:10.60712/SI-ID138974.3"",""strain_id"":""straininfo.strain:138974"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_1619	ncbi.assembly:GCA_900624765	STRAININFO	straininfo.strain:138974		contig	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 Bacteroides salyersiae 82A3	NCBITaxon:291644	strain.sequence.accessionNumber	kgmicrobe.strain:JCM-12988	JCM 12988	deposits.designation			"{""deposit_designation"":""JCM 12988"",""deposit_id"":""straininfo.deposit:533116"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:533116"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:1619"",""strain_doi"":""DOI:10.60712/SI-ID138974.3"",""strain_id"":""straininfo.strain:138974"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16191	ncbi.assembly:GCA_021462825	STRAININFO	straininfo.strain:126031		contig	Streptomyces glomeratus DSM 41457	NCBITaxon:284452	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-41457	DSM 41457	deposits.designation			"{""deposit_designation"":""DSM 41457"",""deposit_id"":""straininfo.deposit:167050"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:167050"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16191"",""strain_doi"":""DOI:10.60712/SI-ID126031.3"",""strain_id"":""straininfo.strain:126031"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16194	ncbi.assembly:GCA_001570645	STRAININFO	straininfo.strain:41989		scaffold	Streptomyces hygroscopicus subsp. hygroscopicus NBRC 100766	NCBITaxon:1912	strain.sequence.accessionNumber	kgmicrobe.strain:NBRC-100766	NBRC 100766	deposits.designation			"{""deposit_designation"":""NBRC 100766"",""deposit_id"":""straininfo.deposit:491711"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:491711"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16194"",""strain_doi"":""DOI:10.60712/SI-ID41989.3"",""strain_id"":""straininfo.strain:41989"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16195	ncbi.assembly:GCA_009936315	STRAININFO	straininfo.strain:41990		complete	Streptomyces antimycoticus NBRC 100767	NCBITaxon:68175	strain.sequence.accessionNumber	kgmicrobe.strain:NBRC-100767	NBRC 100767	deposits.designation			"{""deposit_designation"":""NBRC 100767"",""deposit_id"":""straininfo.deposit:491712"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:491712"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16195"",""strain_doi"":""DOI:10.60712/SI-ID41990.3"",""strain_id"":""straininfo.strain:41990"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16196	ncbi.assembly:GCA_016755875	STRAININFO	straininfo.strain:46064		contig	Streptomyces spororaveus NBRC 15456	NCBITaxon:284039	strain.sequence.accessionNumber	kgmicrobe.strain:NBRC-15456	NBRC 15456	deposits.designation			"{""deposit_designation"":""NBRC 15456"",""deposit_id"":""straininfo.deposit:335255"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:335255"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16196"",""strain_doi"":""DOI:10.60712/SI-ID46064.3"",""strain_id"":""straininfo.strain:46064"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16197	ncbi.assembly:GCA_027942015	STRAININFO	straininfo.strain:92986		complete	Streptomyces goshikiensis CGMCC 4.1796	NCBITaxon:1942	strain.sequence.accessionNumber	kgmicrobe.strain:CGMCC-4.1796	CGMCC 4.1796	deposits.designation			"{""deposit_designation"":""CGMCC 4.1796"",""deposit_id"":""straininfo.deposit:753529"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:753529"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16197"",""strain_doi"":""DOI:10.60712/SI-ID92986.3"",""strain_id"":""straininfo.strain:92986"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_161979	ncbi.assembly:GCA_004745955	STRAININFO	straininfo.strain:371054		contig	Hymenobacter elongatus JCM 17223	NCBITaxon:877208	strain.sequence.accessionNumber	kgmicrobe.strain:JCM-17223	JCM 17223	deposits.designation			"{""bacdive_reference_conflict"":true,""deposit_designation"":""JCM 17223"",""deposit_id"":""straininfo.deposit:866434"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:866434"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:161961"",""strain_doi"":""DOI:10.60712/SI-ID371054.3"",""strain_id"":""straininfo.strain:371054"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16198	ncbi.assembly:GCA_000955965	STRAININFO	straininfo.strain:41991		contig	Streptomyces variegatus NRRL B-16380	NCBITaxon:284040	strain.sequence.accessionNumber	kgmicrobe.strain:NRRL-B-16380	NRRL B-16380	deposits.designation			"{""deposit_designation"":""NRRL B-16380"",""deposit_id"":""straininfo.deposit:684148"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:684148"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16198"",""strain_doi"":""DOI:10.60712/SI-ID41991.3"",""strain_id"":""straininfo.strain:41991"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_162	ncbi.assembly:GCA_000429245	STRAININFO	straininfo.strain:42400		scaffold	Schaalia georgiae DSM 6843	NCBITaxon:52768	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-6843	DSM 6843	deposits.designation			"{""deposit_designation"":""DSM 6843"",""deposit_id"":""straininfo.deposit:126875"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:126875"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:162"",""strain_doi"":""DOI:10.60712/SI-ID42400.3"",""strain_id"":""straininfo.strain:42400"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_162007	ncbi.assembly:GCA_900457365	STRAININFO	straininfo.strain:40815		contig	Sphingobacterium spiritivorum NCTC11388	NCBITaxon:258	strain.sequence.accessionNumber	kgmicrobe.strain:NCTC-11388	NCTC 11388	deposits.designation			"{""deposit_designation"":""NCTC 11388"",""deposit_id"":""straininfo.deposit:110053"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:110053"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:162007"",""strain_doi"":""DOI:10.60712/SI-ID40815.2"",""strain_id"":""straininfo.strain:40815"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_162023	ncbi.assembly:GCA_000020605	STRAININFO	straininfo.strain:40605		complete	Agathobacter rectalis ATCC 33656	NCBITaxon:39491	strain.sequence.accessionNumber	kgmicrobe.strain:ATCC-33656	ATCC 33656	deposits.designation			"{""deposit_designation"":""ATCC 33656"",""deposit_id"":""straininfo.deposit:109588"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:109588"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:162023"",""strain_doi"":""DOI:10.60712/SI-ID40605.3"",""strain_id"":""straininfo.strain:40605"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16204	ncbi.assembly:GCA_003112555	STRAININFO	straininfo.strain:50007		contig	Streptomyces coelicoflavus NBRC 15399	NCBITaxon:285562	strain.sequence.accessionNumber	kgmicrobe.strain:NBRC-15399	NBRC 15399	deposits.designation			"{""deposit_designation"":""NBRC 15399"",""deposit_id"":""straininfo.deposit:335244"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:335244"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16204"",""strain_doi"":""DOI:10.60712/SI-ID50007.3"",""strain_id"":""straininfo.strain:50007"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16207	ncbi.assembly:GCA_027947595	STRAININFO	straininfo.strain:45159		complete	Streptomyces lienomycini DSM 41475	NCBITaxon:284035	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-41475	DSM 41475	deposits.designation			"{""deposit_designation"":""DSM 41475"",""deposit_id"":""straininfo.deposit:167094"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:167094"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16207"",""strain_doi"":""DOI:10.60712/SI-ID45159.3"",""strain_id"":""straininfo.strain:45159"",""strain_status"":""published online""}"
