kind	id	reason
attested_taxon	NCBITaxon:1226675	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1226759	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1232666	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1235808	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1236532	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1237105	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1240726	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1240783	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1241906	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1243180	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1248412	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1255307	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1255591	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1255657	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1257027	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1263015	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1267512	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1267535	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:126790	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1280942	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1280943	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1284352	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1288089	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1291006	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1295133	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1298859	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1300157	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1301032	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1304158	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1308541	not in pinned NCBI taxonomy; retained in source inventory
