strain_id	genome_id	source_database	source	source_id	source_reference_id	assembly_level	genome_name	taxon_id	source_field	matched_strain_id	source_strain_identifiers	source_strain_field	source_organism_id	source_project_id
kgmicrobe.strain:bacdive_10	gtdb.genome:RS_GCF_011516945.1	gtdb	GTDB	gtdb.genome:RS_GCF_011516945.1		Contig	Acetobacter estunensis	NCBITaxon:104097	accession	kgmicrobe.strain:LMG-1626	LMG 1626	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10	img.taxon:3003386530	img	GOLD	gold:Ga0488917			Acetobacter estunensis LMG 1626	NCBITaxon:104097	AP IMG TAXON ID	kgmicrobe.strain:LMG-1626	LMG 1626	ORGANISM CULTURE COLLECTION ID	gold:Go0576608	gold:Gp0551382
kgmicrobe.strain:bacdive_10	img.taxon:3003386530	img	GOLD	gold:Ga0488917			Acetobacter estunensis LMG 1626	NCBITaxon:104097	AP IMG TAXON ID	kgmicrobe.strain:LMG-1626	LMG 1626	ORGANISM STRAIN	gold:Go0576608	gold:Gp0551382
kgmicrobe.strain:bacdive_10	patric:104097.5	patric	BACDIVE	bacdive:10	66792	wgs	Acetobacter estunensis strain LMG 1626	NCBITaxon:104097						
kgmicrobe.strain:bacdive_100	gtdb.genome:RS_GCF_003269275.1	gtdb	GTDB	gtdb.genome:RS_GCF_003269275.1		Scaffold	Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957	accession	kgmicrobe.strain:DSM-14760	DSM 14760	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_100	img.taxon:2756170237	img	BACDIVE	bacdive:100	66792	draft	Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957						
kgmicrobe.strain:bacdive_100	img.taxon:2756170237	img	GOLD	gold:Ga0215641			Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957	AP IMG TAXON ID	kgmicrobe.strain:DSM-14760	DSM 14760	ORGANISM CULTURE COLLECTION ID	gold:Go0013133	gold:Gp0251908
kgmicrobe.strain:bacdive_100	img.taxon:2756170237	img	GOLD	gold:Ga0215641			Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957	AP IMG TAXON ID	kgmicrobe.strain:DSM-14760	DSM 14760	ORGANISM STRAIN	gold:Go0013133	gold:Gp0251908
kgmicrobe.strain:bacdive_100	patric:1122957.3	patric	BACDIVE	bacdive:100	66792	wgs	Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957						
kgmicrobe.strain:bacdive_1002	gtdb.genome:RS_GCF_029537075.2	gtdb	GTDB	gtdb.genome:RS_GCF_029537075.2		Complete Genome	Bacillus subtilis	NCBITaxon:1423	accession	kgmicrobe.strain:DSM-23521	DSM 23521	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_1003	patric:224308.261	patric	BACDIVE	bacdive:1003	66792	wgs	Bacillus subtilis subsp. subtilis str. 168 strain 168	NCBITaxon:224308						
kgmicrobe.strain:bacdive_1003	patric:224308.262	patric	BACDIVE	bacdive:1003	66792	wgs	Bacillus subtilis subsp. subtilis str. 168 strain 168	NCBITaxon:224308						
kgmicrobe.strain:bacdive_1006	gtdb.genome:GB_GCA_002243685.1	gtdb	GTDB	gtdb.genome:GB_GCA_002243685.1		Complete Genome	Bacillus thuringiensis	NCBITaxon:1428	accession	kgmicrobe.strain:ATCC-10792	ATCC 10792	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_1006	gtdb.genome:RS_GCF_000161615.1	gtdb	GTDB	gtdb.genome:RS_GCF_000161615.1		Chromosome	Bacillus thuringiensis serovar berliner ATCC 10792	NCBITaxon:527031	accession	kgmicrobe.strain:ATCC-10792	ATCC 10792	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_1006	gtdb.genome:RS_GCF_002119445.1	gtdb	GTDB	gtdb.genome:RS_GCF_002119445.1		Complete Genome	Bacillus thuringiensis	NCBITaxon:1428	accession	kgmicrobe.strain:ATCC-10792	ATCC 10792	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_1006	img.taxon:2912849059	img	BACDIVE	bacdive:1006	66792	complete	Bacillus thuringiensis sv. berliner ATCC 10792	NCBITaxon:527031						
kgmicrobe.strain:bacdive_1006	img.taxon:2912849059	img	GOLD	gold:Ga0226350			Bacillus thuringiensis sv. berliner ATCC 10792	NCBITaxon:527031	AP IMG TAXON ID	kgmicrobe.strain:ATCC-10792	ATCC 10792	ORGANISM CULTURE COLLECTION ID	gold:Go0003758	gold:Gp0260496
kgmicrobe.strain:bacdive_1006	img.taxon:2912849059	img	GOLD	gold:Ga0226350			Bacillus thuringiensis sv. berliner ATCC 10792	NCBITaxon:527031	AP IMG TAXON ID	kgmicrobe.strain:ATCC-10792	ATCC 10792	ORGANISM STRAIN	gold:Go0003758	gold:Gp0260496
kgmicrobe.strain:bacdive_1006	img.taxon:2916873227	img	BACDIVE	bacdive:1006	66792	complete	Bacillus thuringiensis sv. berliner ATCC 10792	NCBITaxon:527031						
kgmicrobe.strain:bacdive_1006	img.taxon:2916873227	img	GOLD	gold:Ga0226631			Bacillus thuringiensis sv. berliner ATCC 10792	NCBITaxon:527031	AP IMG TAXON ID	kgmicrobe.strain:ATCC-10792	ATCC 10792	ORGANISM CULTURE COLLECTION ID	gold:Go0003758	gold:Gp0260928
kgmicrobe.strain:bacdive_1006	img.taxon:2916873227	img	GOLD	gold:Ga0226631			Bacillus thuringiensis sv. berliner ATCC 10792	NCBITaxon:527031	AP IMG TAXON ID	kgmicrobe.strain:ATCC-10792	ATCC 10792	ORGANISM STRAIN	gold:Go0003758	gold:Gp0260928
kgmicrobe.strain:bacdive_1006	img.taxon:643886085	img	BACDIVE	bacdive:1006	66792	draft	Bacillus thuringiensis sv. berliner ATCC 10792	NCBITaxon:527031						
kgmicrobe.strain:bacdive_1006	img.taxon:643886085	img	GOLD	gold:Ga0027722			Bacillus thuringiensis sv. berliner ATCC 10792	NCBITaxon:527031	AP IMG TAXON ID	kgmicrobe.strain:ATCC-10792	ATCC 10792	ORGANISM CULTURE COLLECTION ID	gold:Go0003758	gold:Gp0003758
kgmicrobe.strain:bacdive_1006	img.taxon:643886085	img	GOLD	gold:Ga0027722			Bacillus thuringiensis sv. berliner ATCC 10792	NCBITaxon:527031	AP IMG TAXON ID	kgmicrobe.strain:ATCC-10792	ATCC 10792	ORGANISM STRAIN	gold:Go0003758	gold:Gp0003758
kgmicrobe.strain:bacdive_1006	patric:1428.425	patric	BACDIVE	bacdive:1006	66792	complete	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:1428.478	patric	BACDIVE	bacdive:1006	66792	complete	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:1428.840	patric	BACDIVE	bacdive:1006	66792	plasmid	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:1428.841	patric	BACDIVE	bacdive:1006	66792	plasmid	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:1428.842	patric	BACDIVE	bacdive:1006	66792	plasmid	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:1428.843	patric	BACDIVE	bacdive:1006	66792	plasmid	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:1428.844	patric	BACDIVE	bacdive:1006	66792	plasmid	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:1428.845	patric	BACDIVE	bacdive:1006	66792	plasmid	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:1428.846	patric	BACDIVE	bacdive:1006	66792	plasmid	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:1428.847	patric	BACDIVE	bacdive:1006	66792	plasmid	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:1428.848	patric	BACDIVE	bacdive:1006	66792	plasmid	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:1428.849	patric	BACDIVE	bacdive:1006	66792	plasmid	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:1428.850	patric	BACDIVE	bacdive:1006	66792	plasmid	Bacillus thuringiensis strain ATCC 10792	NCBITaxon:1428						
kgmicrobe.strain:bacdive_1006	patric:527031.3	patric	BACDIVE	bacdive:1006	66792	wgs	Bacillus thuringiensis serovar berliner ATCC 10792	NCBITaxon:527031						
kgmicrobe.strain:bacdive_10096	gtdb.genome:RS_GCF_000331735.1	gtdb	GTDB	gtdb.genome:RS_GCF_000331735.1		Complete Genome	Myxococcus stipitatus DSM 14675	NCBITaxon:1278073	accession	kgmicrobe.strain:DSM-14675	DSM 14675	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10096	img.taxon:2521172697	img	BACDIVE	bacdive:10096	66792	complete	Myxococcus stipitatus DSM 14675	NCBITaxon:1278073						
kgmicrobe.strain:bacdive_10096	img.taxon:2521172697	img	GOLD	gold:Ga0012262			Myxococcus stipitatus DSM 14675	NCBITaxon:1278073	AP IMG TAXON ID	kgmicrobe.strain:DSM-14675	DSM 14675	ORGANISM CULTURE COLLECTION ID	gold:Go0034591	gold:Gp0034591
kgmicrobe.strain:bacdive_10096	img.taxon:2521172697	img	GOLD	gold:Ga0012262			Myxococcus stipitatus DSM 14675	NCBITaxon:1278073	AP IMG TAXON ID	kgmicrobe.strain:DSM-14675	DSM 14675	ORGANISM STRAIN	gold:Go0034591	gold:Gp0034591
kgmicrobe.strain:bacdive_10096	patric:1278073.3	patric	BACDIVE	bacdive:10096	66792	complete	Myxococcus stipitatus DSM 14675	NCBITaxon:1278073						
kgmicrobe.strain:bacdive_10169	gtdb.genome:RS_GCF_012933655.1	gtdb	GTDB	gtdb.genome:RS_GCF_012933655.1		Contig	Pyxidicoccus fallax	NCBITaxon:394095	accession	kgmicrobe.strain:DSM-14698	DSM 14698	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10169	img.taxon:2989196028	img	GOLD	gold:Ga0487364			Pyxidicoccus fallax DSM 14698	NCBITaxon:394095	AP IMG TAXON ID	kgmicrobe.strain:DSM-14698	DSM 14698	ORGANISM CULTURE COLLECTION ID	gold:Go0031213	gold:Gp0546502
kgmicrobe.strain:bacdive_10169	img.taxon:2989196028	img	GOLD	gold:Ga0487364			Pyxidicoccus fallax DSM 14698	NCBITaxon:394095	AP IMG TAXON ID	kgmicrobe.strain:DSM-14698	DSM 14698	ORGANISM STRAIN	gold:Go0031213	gold:Gp0546502
kgmicrobe.strain:bacdive_10169	patric:394095.3	patric	BACDIVE	bacdive:10169	66792	wgs	Pyxidicoccus fallax strain DSM 14698	NCBITaxon:394095						
kgmicrobe.strain:bacdive_10173	gtdb.genome:RS_GCF_000024365.1	gtdb	GTDB	gtdb.genome:RS_GCF_000024365.1		Complete Genome	Nakamurella multipartita DSM 44233	NCBITaxon:479431	accession	kgmicrobe.strain:DSM-44233	DSM 44233	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10173	img.taxon:644736393	img	BACDIVE	bacdive:10173	66792	complete	Nakamurella multipartita Y-104, DSM 44233	NCBITaxon:479431						
kgmicrobe.strain:bacdive_10173	img.taxon:644736393	img	GOLD	gold:Ga0029572			Nakamurella multipartita Y-104, DSM 44233	NCBITaxon:479431	AP IMG TAXON ID	kgmicrobe.strain:DSM-44233	DSM 44233	ORGANISM CULTURE COLLECTION ID	gold:Go0001208	gold:Gp0001208
kgmicrobe.strain:bacdive_10173	img.taxon:644736393	img	GOLD	gold:Ga0029572			Nakamurella multipartita Y-104, DSM 44233	NCBITaxon:479431	AP IMG TAXON ID	kgmicrobe.strain:DSM-44233	Y-104, DSM 44233	ORGANISM STRAIN	gold:Go0001208	gold:Gp0001208
kgmicrobe.strain:bacdive_10173	patric:479431.6	patric	BACDIVE	bacdive:10173	66792	complete	Nakamurella multipartita DSM 44233	NCBITaxon:479431						
kgmicrobe.strain:bacdive_10174	gtdb.genome:RS_GCF_000426645.1	gtdb	GTDB	gtdb.genome:RS_GCF_000426645.1		Scaffold	Nakamurella lactea DSM 19367	NCBITaxon:1123241	accession	kgmicrobe.strain:DSM-19367	DSM 19367	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10174	img.taxon:2524614512	img	BACDIVE	bacdive:10174	66792	draft	Nakamurella lactea DSM 19367	NCBITaxon:1123241						
kgmicrobe.strain:bacdive_10174	img.taxon:2524614512	img	GOLD	gold:Ga0002757			Nakamurella lactea DSM 19367	NCBITaxon:1123241	AP IMG TAXON ID	kgmicrobe.strain:DSM-19367	DSM 19367	ORGANISM CULTURE COLLECTION ID	gold:Go0013256	gold:Gp0013256
kgmicrobe.strain:bacdive_10174	img.taxon:2524614512	img	GOLD	gold:Ga0002757			Nakamurella lactea DSM 19367	NCBITaxon:1123241	AP IMG TAXON ID	kgmicrobe.strain:DSM-19367	DSM 19367	ORGANISM STRAIN	gold:Go0013256	gold:Gp0013256
kgmicrobe.strain:bacdive_10174	patric:1123241.3	patric	BACDIVE	bacdive:10174	66792	wgs	Saxeibacter lacteus DSM 19367	NCBITaxon:1123241						
kgmicrobe.strain:bacdive_10175	gtdb.genome:RS_GCF_000737335.2	gtdb	GTDB	gtdb.genome:RS_GCF_000737335.2		Contig	Enhygromyxa salina	NCBITaxon:215803	accession	kgmicrobe.strain:DSM-15201	DSM 15201	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10175	img.taxon:2636416168	img	BACDIVE	bacdive:10175	66792	draft	Enhygromyxa salina DSM 15201	NCBITaxon:215803						
kgmicrobe.strain:bacdive_10175	img.taxon:2636416168	img	GOLD	gold:Ga0097779			Enhygromyxa salina DSM 15201	NCBITaxon:215803	AP IMG TAXON ID	kgmicrobe.strain:DSM-15201	DSM 15201	ORGANISM CULTURE COLLECTION ID	gold:Go0091466	gold:Gp0091466
kgmicrobe.strain:bacdive_10175	img.taxon:2636416168	img	GOLD	gold:Ga0097779			Enhygromyxa salina DSM 15201	NCBITaxon:215803	AP IMG TAXON ID	kgmicrobe.strain:DSM-15201	DSM 15201	ORGANISM STRAIN	gold:Go0091466	gold:Gp0091466
kgmicrobe.strain:bacdive_10175	patric:215803.3	patric	BACDIVE	bacdive:10175	66792	wgs	Enhygromyxa salina strain DSM 15201	NCBITaxon:215803						
kgmicrobe.strain:bacdive_10177	gtdb.genome:RS_GCF_002343915.1	gtdb	GTDB	gtdb.genome:RS_GCF_002343915.1		Contig	Nannocystis exedens	NCBITaxon:54	accession	kgmicrobe.strain:DSM-71	DSM 71	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10177	gtdb.genome:RS_GCF_900112715.1	gtdb	GTDB	gtdb.genome:RS_GCF_900112715.1		Scaffold	Nannocystis exedens	NCBITaxon:54	accession	kgmicrobe.strain:ATCC-25963	ATCC 25963	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10177	img.taxon:2597490371	img	BACDIVE	bacdive:10177	66792	draft	Nannocystis exedens ATCC 25963	NCBITaxon:54						
kgmicrobe.strain:bacdive_10177	img.taxon:2597490371	img	GOLD	gold:Ga0008035			Nannocystis exedens ATCC 25963	NCBITaxon:54	AP IMG TAXON ID	kgmicrobe.strain:ATCC-25963	ATCC 25963	ORGANISM CULTURE COLLECTION ID	gold:Go0088892	gold:Gp0088892
kgmicrobe.strain:bacdive_10177	img.taxon:2597490371	img	GOLD	gold:Ga0008035			Nannocystis exedens ATCC 25963	NCBITaxon:54	AP IMG TAXON ID	kgmicrobe.strain:ATCC-25963	ATCC 25963	ORGANISM STRAIN	gold:Go0088892	gold:Gp0088892
kgmicrobe.strain:bacdive_10177	img.taxon:2767802756	img	GOLD	gold:Ga0248598			Nannocystis exedens DSM 71	NCBITaxon:54	AP IMG TAXON ID	kgmicrobe.strain:DSM-71	DSM 71	ORGANISM CULTURE COLLECTION ID	gold:Go0403008	gold:Gp0293155
kgmicrobe.strain:bacdive_10177	img.taxon:2767802756	img	GOLD	gold:Ga0248598			Nannocystis exedens DSM 71	NCBITaxon:54	AP IMG TAXON ID	kgmicrobe.strain:DSM-71	DSM 71	ORGANISM STRAIN	gold:Go0403008	gold:Gp0293155
kgmicrobe.strain:bacdive_10177	patric:54.3	patric	BACDIVE	bacdive:10177	66792	wgs	Nannocystis exedens strain ATCC 25963	NCBITaxon:54						
kgmicrobe.strain:bacdive_103	gtdb.genome:RS_GCF_900112895.1	gtdb	GTDB	gtdb.genome:RS_GCF_900112895.1		Scaffold	Succiniclasticum ruminis DSM 9236	NCBITaxon:1123323	accession	kgmicrobe.strain:DSM-9236	DSM 9236	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_103	img.taxon:2654588123	img	BACDIVE	bacdive:103	66792	draft	Succiniclasticum ruminis DSM 9236	NCBITaxon:1123323						
kgmicrobe.strain:bacdive_103	img.taxon:2654588123	img	GOLD	gold:Ga0104377			Succiniclasticum ruminis DSM 9236	NCBITaxon:1123323	AP IMG TAXON ID	kgmicrobe.strain:DSM-9236	DSM 9236	ORGANISM CULTURE COLLECTION ID	gold:Go0013364	gold:Gp0127371
kgmicrobe.strain:bacdive_103	img.taxon:2654588123	img	GOLD	gold:Ga0104377			Succiniclasticum ruminis DSM 9236	NCBITaxon:1123323	AP IMG TAXON ID	kgmicrobe.strain:DSM-9236	DSM 9236	ORGANISM STRAIN	gold:Go0013364	gold:Gp0127371
kgmicrobe.strain:bacdive_103	patric:1123323.3	patric	BACDIVE	bacdive:103	66792	wgs	Succiniclasticum ruminis DSM 9236	NCBITaxon:1123323						
kgmicrobe.strain:bacdive_10312	gtdb.genome:RS_GCF_020073745.1	gtdb	GTDB	gtdb.genome:RS_GCF_020073745.1		Contig	Nannocystis pusilla	NCBITaxon:889268	accession	kgmicrobe.strain:DSM-53165	DSM 53165	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10312	img.taxon:2982226115	img	GOLD	gold:Ga0576828			Nannocystis pusilla DSM 53165	NCBITaxon:889268	AP IMG TAXON ID	kgmicrobe.strain:DSM-53165	DSM 53165	ORGANISM CULTURE COLLECTION ID	gold:Go0642149	gold:Gp0676761
kgmicrobe.strain:bacdive_10312	img.taxon:2982226115	img	GOLD	gold:Ga0576828			Nannocystis pusilla DSM 53165	NCBITaxon:889268	AP IMG TAXON ID	kgmicrobe.strain:DSM-53165	DSM 53165	ORGANISM STRAIN	gold:Go0642149	gold:Gp0676761
kgmicrobe.strain:bacdive_10312	patric:889268.3	patric	BACDIVE	bacdive:10312	66792	wgs	Nannocystis pusilla strain DSM 53165	NCBITaxon:889268						
kgmicrobe.strain:bacdive_104	gtdb.genome:RS_GCF_900101645.1	gtdb	GTDB	gtdb.genome:RS_GCF_900101645.1		Scaffold	Succiniclasticum ruminis	NCBITaxon:40841	accession	kgmicrobe.strain:DSM-11005	DSM 11005	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_104	img.taxon:2623620478	img	BACDIVE	bacdive:104	66792	draft	Succiniclasticum ruminis DSM11005	NCBITaxon:40841						
kgmicrobe.strain:bacdive_104	img.taxon:2623620478	img	GOLD	gold:Ga0066895			Succiniclasticum ruminis DSM11005	NCBITaxon:40841	AP IMG TAXON ID	kgmicrobe.strain:DSM-11005	DSM 11005	ORGANISM CULTURE COLLECTION ID	gold:Go0110408	gold:Gp0110881
kgmicrobe.strain:bacdive_104	img.taxon:2623620478	img	GOLD	gold:Ga0066895			Succiniclasticum ruminis DSM11005	NCBITaxon:40841	AP IMG TAXON ID	kgmicrobe.strain:DSM-11005	DSM 11005	ORGANISM STRAIN	gold:Go0110408	gold:Gp0110881
kgmicrobe.strain:bacdive_104	patric:40841.28	patric	BACDIVE	bacdive:104	66792	wgs	Succiniclasticum ruminis strain DSM 11005	NCBITaxon:40841						
kgmicrobe.strain:bacdive_10420	img.taxon:640963030	img	BACDIVE	bacdive:10420	66792	draft	Plesiocystis pacifica SIR-1	NCBITaxon:391625						
kgmicrobe.strain:bacdive_10420	img.taxon:640963030	img	GOLD	gold:Ga0029812			Plesiocystis pacifica SIR-1	NCBITaxon:391625	AP IMG TAXON ID	kgmicrobe.strain:DSM-14875	DSM 14875	ORGANISM CULTURE COLLECTION ID	gold:Go0001287	gold:Gp0001287
kgmicrobe.strain:bacdive_10420	patric:391625.5	patric	BACDIVE	bacdive:10420	66792	wgs	Plesiocystis pacifica SIR-1	NCBITaxon:391625						
kgmicrobe.strain:bacdive_10423	gtdb.genome:RS_GCF_000186245.1	gtdb	GTDB	gtdb.genome:RS_GCF_000186245.1		Complete Genome	Nitratifractor salsuginis DSM 16511	NCBITaxon:749222	accession	kgmicrobe.strain:DSM-16511	DSM 16511	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10423	img.taxon:649633076	img	BACDIVE	bacdive:10423	66792	complete	Nitratifractor salsuginis E9I37-1, DSM 16511	NCBITaxon:749222						
kgmicrobe.strain:bacdive_10423	img.taxon:649633076	img	GOLD	gold:Ga0029627			Nitratifractor salsuginis E9I37-1, DSM 16511	NCBITaxon:749222	AP IMG TAXON ID	kgmicrobe.strain:DSM-16511	DSM 16511	ORGANISM CULTURE COLLECTION ID	gold:Go0004566	gold:Gp0004566
kgmicrobe.strain:bacdive_10423	img.taxon:649633076	img	GOLD	gold:Ga0029627			Nitratifractor salsuginis E9I37-1, DSM 16511	NCBITaxon:749222	AP IMG TAXON ID	kgmicrobe.strain:DSM-16511	E9I37-1, DSM 16511	ORGANISM STRAIN	gold:Go0004566	gold:Gp0004566
kgmicrobe.strain:bacdive_10423	patric:749222.3	patric	BACDIVE	bacdive:10423	66792	complete	Nitratifractor salsuginis DSM 16511	NCBITaxon:749222						
kgmicrobe.strain:bacdive_10424	gtdb.genome:RS_GCF_027946175.1	gtdb	GTDB	gtdb.genome:RS_GCF_027946175.1		Complete Genome	Nitratiruptor tergarcus DSM 16512	NCBITaxon:1069081	accession	kgmicrobe.strain:DSM-16512	DSM 16512	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10424	gtdb.genome:RS_GCF_900176045.1	gtdb	GTDB	gtdb.genome:RS_GCF_900176045.1		Scaffold	Nitratiruptor tergarcus DSM 16512	NCBITaxon:1069081	accession	kgmicrobe.strain:DSM-16512	DSM 16512	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10424	img.taxon:2516493030	img	BACDIVE	bacdive:10424	66792	draft	Nitratiruptor tergarcus DSM 16512	NCBITaxon:1069081						
kgmicrobe.strain:bacdive_10424	img.taxon:2516493030	img	GOLD	gold:Ga0026596			Nitratiruptor tergarcus DSM 16512	NCBITaxon:1069081	AP IMG TAXON ID	kgmicrobe.strain:DSM-16512	DSM 16512	ORGANISM CULTURE COLLECTION ID	gold:Go0015269	gold:Gp0015269
kgmicrobe.strain:bacdive_10424	img.taxon:2516493030	img	GOLD	gold:Ga0026596			Nitratiruptor tergarcus DSM 16512	NCBITaxon:1069081	AP IMG TAXON ID	kgmicrobe.strain:DSM-16512	DSM 16512	ORGANISM STRAIN	gold:Go0015269	gold:Gp0015269
kgmicrobe.strain:bacdive_10424	img.taxon:8118737473	img	GOLD	gold:Ga0667700			Nitratiruptor tergarcus DSM 16512	NCBITaxon:1069081	AP IMG TAXON ID	kgmicrobe.strain:DSM-16512	DSM 16512	ORGANISM CULTURE COLLECTION ID	gold:Go0015269	gold:Gp0818035
kgmicrobe.strain:bacdive_10424	img.taxon:8118737473	img	GOLD	gold:Ga0667700			Nitratiruptor tergarcus DSM 16512	NCBITaxon:1069081	AP IMG TAXON ID	kgmicrobe.strain:DSM-16512	DSM 16512	ORGANISM STRAIN	gold:Go0015269	gold:Gp0818035
kgmicrobe.strain:bacdive_10424	patric:1069081.3	patric	BACDIVE	bacdive:10424	66792	wgs	Nitratiruptor tergarcus DSM 16512 strain DSM 16512	NCBITaxon:1069081						
kgmicrobe.strain:bacdive_10428	img.taxon:640963039	img	BACDIVE	bacdive:10428	66792	draft	Caminibacter mediatlanticus TB-2	NCBITaxon:391592						
kgmicrobe.strain:bacdive_10428	img.taxon:640963039	img	GOLD	gold:Ga0028133			Caminibacter mediatlanticus TB-2	NCBITaxon:391592	AP IMG TAXON ID	kgmicrobe.strain:DSM-16658	DSM 16658	ORGANISM CULTURE COLLECTION ID	gold:Go0001245	gold:Gp0001245
kgmicrobe.strain:bacdive_10428	patric:391592.5	patric	BACDIVE	bacdive:10428	66792	wgs	Caminibacter mediatlanticus TB-2	NCBITaxon:391592						
kgmicrobe.strain:bacdive_10430	img.taxon:643692029	img	GOLD	gold:Ga0029578			Nautilia profundicola Am-H	NCBITaxon:598659	AP IMG TAXON ID	kgmicrobe.strain:ATCC-BAA-1463	ATCC BAA-1463	ORGANISM CULTURE COLLECTION ID	gold:Go0001676	gold:Gp0001676
kgmicrobe.strain:bacdive_10430	patric:598659.3	patric	BACDIVE	bacdive:10430	66792	complete	Nautilia profundicola AmH	NCBITaxon:598659						
kgmicrobe.strain:bacdive_10433	gtdb.genome:RS_GCF_000745955.1	gtdb	GTDB	gtdb.genome:RS_GCF_000745955.1		Scaffold	Alysiella crassa DSM 2578	NCBITaxon:1120980	accession	kgmicrobe.strain:DSM-2578	DSM 2578	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10433	img.taxon:2571042010	img	BACDIVE	bacdive:10433	66792	draft	Alysiella crassa DSM 2578	NCBITaxon:1120980						
kgmicrobe.strain:bacdive_10433	img.taxon:2571042010	img	GOLD	gold:Ga0002091			Alysiella crassa DSM 2578	NCBITaxon:1120980	AP IMG TAXON ID	kgmicrobe.strain:DSM-2578	DSM 2578	ORGANISM CULTURE COLLECTION ID	gold:Go0012974	gold:Gp0012974
kgmicrobe.strain:bacdive_10433	img.taxon:2571042010	img	GOLD	gold:Ga0002091			Alysiella crassa DSM 2578	NCBITaxon:1120980	AP IMG TAXON ID	kgmicrobe.strain:DSM-2578	DSM 2578	ORGANISM STRAIN	gold:Go0012974	gold:Gp0012974
kgmicrobe.strain:bacdive_10433	img.taxon:2808606660	img	BACDIVE	bacdive:10433	66792	draft	Alysiella crassa NCTC 10283	NCBITaxon:153491						
kgmicrobe.strain:bacdive_10433	img.taxon:2808606660	img	GOLD	gold:Ga0317222			Alysiella crassa NCTC 10283	NCBITaxon:153491	AP IMG TAXON ID	kgmicrobe.strain:NCTC-10283	NCTC 10283	ORGANISM CULTURE COLLECTION ID	gold:Go0468444	gold:Gp0342056
kgmicrobe.strain:bacdive_10433	img.taxon:2808606660	img	GOLD	gold:Ga0317222			Alysiella crassa NCTC 10283	NCBITaxon:153491	AP IMG TAXON ID	kgmicrobe.strain:NCTC-10283	NCTC 10283	ORGANISM STRAIN	gold:Go0468444	gold:Gp0342056
kgmicrobe.strain:bacdive_10433	patric:1120980.3	patric	BACDIVE	bacdive:10433	66792	wgs	Alysiella crassa DSM 2578	NCBITaxon:1120980						
kgmicrobe.strain:bacdive_10433	patric:153491.3	patric	BACDIVE	bacdive:10433	66792	wgs	Alysiella crassa strain NCTC10283	NCBITaxon:153491						
kgmicrobe.strain:bacdive_10434	gtdb.genome:RS_GCF_014054525.1	gtdb	GTDB	gtdb.genome:RS_GCF_014054525.1		Complete Genome	Alysiella filiformis	NCBITaxon:194196	accession	kgmicrobe.strain:DSM-16848	DSM 16848	ncbi_strain_identifiers		
