strain_id	taxon_ids
kgmicrobe.strain:ACCC-05753	NCBITaxon:1232668
kgmicrobe.strain:ACCC-05759	NCBITaxon:1133344
kgmicrobe.strain:ACCC-05850	NCBITaxon:1178482
kgmicrobe.strain:ACCC-05851	NCBITaxon:1365611
kgmicrobe.strain:ACCC-05911	NCBITaxon:1775474
kgmicrobe.strain:ACCC-05916	NCBITaxon:451876
kgmicrobe.strain:ACCC-06116	NCBITaxon:1715720
kgmicrobe.strain:ACCC-06121	NCBITaxon:1421019
kgmicrobe.strain:ACCC-06131	NCBITaxon:1522744
kgmicrobe.strain:ACCC-06362	NCBITaxon:1176257
kgmicrobe.strain:ACCC-06401	NCBITaxon:1472767
kgmicrobe.strain:ACCC-06413	NCBITaxon:1476025
kgmicrobe.strain:ACCC-06420	NCBITaxon:1476024
kgmicrobe.strain:ACCC-06427	NCBITaxon:1473572
kgmicrobe.strain:ACCC-06485	NCBITaxon:1481665
kgmicrobe.strain:ACCC-06516	NCBITaxon:1414654
kgmicrobe.strain:ACCC-06527	NCBITaxon:1507437
kgmicrobe.strain:ACCC-10380	NCBITaxon:379684
kgmicrobe.strain:ACCC-104/4140	NCBITaxon:32020
kgmicrobe.strain:ACCC-10710	NCBITaxon:936889
kgmicrobe.strain:ACCC-10714	NCBITaxon:1214077
kgmicrobe.strain:ACCC-10715	NCBITaxon:1194090
kgmicrobe.strain:ACCC-10716	NCBITaxon:860790
kgmicrobe.strain:ACCC-10717	NCBITaxon:1302730
kgmicrobe.strain:ACCC-10718	NCBITaxon:539262
kgmicrobe.strain:ACCC-108/4111	NCBITaxon:32020
kgmicrobe.strain:ACCC-11036	NCBITaxon:472
kgmicrobe.strain:ACCC-11238	NCBITaxon:515361
kgmicrobe.strain:ACCC-13218	NCBITaxon:505389
kgmicrobe.strain:ACCC-14543	NCBITaxon:559315
kgmicrobe.strain:ACCC-14549	NCBITaxon:475069
kgmicrobe.strain:ACCC-14971	NCBITaxon:1368428
kgmicrobe.strain:ACCC-15034	NCBITaxon:224911
kgmicrobe.strain:ACCC-15461	NCBITaxon:475067
kgmicrobe.strain:ACCC-19180	NCBITaxon:1391222
kgmicrobe.strain:ACCC-19328	NCBITaxon:1437280
kgmicrobe.strain:ACCC-19329	NCBITaxon:1507331
kgmicrobe.strain:ACCC-19665	NCBITaxon:71433
kgmicrobe.strain:ACCC-19708	NCBITaxon:1540163
kgmicrobe.strain:ACCC-19709	NCBITaxon:1529639
kgmicrobe.strain:ACCC-19710	NCBITaxon:1576914
kgmicrobe.strain:ACCC-19713	NCBITaxon:981563
kgmicrobe.strain:ACCC-19714	NCBITaxon:1049182
kgmicrobe.strain:ACCC-19728	NCBITaxon:1561923
kgmicrobe.strain:ACCC-19737	NCBITaxon:1610527
kgmicrobe.strain:ACCC-19738	NCBITaxon:1576911
kgmicrobe.strain:ACCC-19739	NCBITaxon:164759
kgmicrobe.strain:ACCC-19750	NCBITaxon:1429246
kgmicrobe.strain:ACCC-19781	NCBITaxon:1737571
kgmicrobe.strain:ACCC-19782	NCBITaxon:1604721
kgmicrobe.strain:ACCC-19783	NCBITaxon:1850517
kgmicrobe.strain:ACCC-19798	NCBITaxon:1562389
kgmicrobe.strain:ACCC-19856	NCBITaxon:1742264
kgmicrobe.strain:ACCC-19859	NCBITaxon:1797110
kgmicrobe.strain:ACCC-19861	NCBITaxon:1685378
kgmicrobe.strain:ACCC-19862	NCBITaxon:1685379
kgmicrobe.strain:ACCC-19863	NCBITaxon:1685382
kgmicrobe.strain:ACCC-199/4380	NCBITaxon:32020
kgmicrobe.strain:ACCC-19900	NCBITaxon:1778675
kgmicrobe.strain:ACCC-19902	NCBITaxon:1616784
kgmicrobe.strain:ACCC-19927	NCBITaxon:1844972
kgmicrobe.strain:ACCC-19929	NCBITaxon:2081032
kgmicrobe.strain:ACCC-19934	NCBITaxon:2034155
kgmicrobe.strain:ACCC-19936	NCBITaxon:1789224
kgmicrobe.strain:ACCC-19939	NCBITaxon:1850094
kgmicrobe.strain:ACCC-19951	NCBITaxon:1450156
kgmicrobe.strain:ACCC-19952	NCBITaxon:1792311
kgmicrobe.strain:ACCC-19955	NCBITaxon:2012495
kgmicrobe.strain:ACCC-19960	NCBITaxon:1608425
kgmicrobe.strain:ACCC-19961	NCBITaxon:1616783
kgmicrobe.strain:ACCC-19962	NCBITaxon:1867956
kgmicrobe.strain:ACCC-19963	NCBITaxon:1672749
kgmicrobe.strain:ACCC-19965	NCBITaxon:2054424
kgmicrobe.strain:ACCC-19966	NCBITaxon:2033606
kgmicrobe.strain:ACCC-19972	NCBITaxon:2032623
kgmicrobe.strain:ACCC-19978	NCBITaxon:2032627
kgmicrobe.strain:ACCC-23/4207	NCBITaxon:32020
kgmicrobe.strain:ACCC-41207	NCBITaxon:511811
kgmicrobe.strain:ACCC-41871	NCBITaxon:1073330
kgmicrobe.strain:ACCC-41873	NCBITaxon:653357
kgmicrobe.strain:ACCC-41875	NCBITaxon:1045501
kgmicrobe.strain:ACCC-5/4101	NCBITaxon:196
kgmicrobe.strain:ACCC-60057	NCBITaxon:2086464
kgmicrobe.strain:ACCC-60071	NCBITaxon:2670329
kgmicrobe.strain:ACCC-60072	NCBITaxon:2100533
kgmicrobe.strain:ACCC-60073	NCBITaxon:2116701
kgmicrobe.strain:ACCC-60074	NCBITaxon:2116700
kgmicrobe.strain:ACCC-60076	NCBITaxon:2116704
kgmicrobe.strain:ACCC-60124	NCBITaxon:638269
kgmicrobe.strain:ACCC-60125	NCBITaxon:2203219
kgmicrobe.strain:ACCC-60126	NCBITaxon:2488790
kgmicrobe.strain:ACCC-60365	NCBITaxon:2
kgmicrobe.strain:ACCC-60381	NCBITaxon:2259619
kgmicrobe.strain:ACCC-60415	NCBITaxon:3041001
kgmicrobe.strain:ACCC-60430	NCBITaxon:2045207
kgmicrobe.strain:ACCC-61554	NCBITaxon:1240404
kgmicrobe.strain:ACCC-61555	NCBITaxon:2571129
kgmicrobe.strain:ACCC-61556	NCBITaxon:1672701
kgmicrobe.strain:ACCC-61580	NCBITaxon:2569763
kgmicrobe.strain:ACCC-61581	NCBITaxon:2571155
kgmicrobe.strain:ACCC-61588	NCBITaxon:2503024
kgmicrobe.strain:ACCC-61595	NCBITaxon:2547960
kgmicrobe.strain:ACCC-61627	NCBITaxon:2547961
kgmicrobe.strain:ACCC-61706	NCBITaxon:2608981
kgmicrobe.strain:ACCC-61713	NCBITaxon:1639034
kgmicrobe.strain:ACCC-61751	NCBITaxon:2780073
kgmicrobe.strain:ACCC-61757	NCBITaxon:2831022
kgmicrobe.strain:ACCC-61799	NCBITaxon:2483800
kgmicrobe.strain:ACCC-61807	NCBITaxon:2977531
kgmicrobe.strain:ACCC-61808	NCBITaxon:2898586
kgmicrobe.strain:ACCC-62069	NCBITaxon:2949090
kgmicrobe.strain:ACCC-62388	NCBITaxon:2989736
kgmicrobe.strain:ACCC-62445	NCBITaxon:2954082
kgmicrobe.strain:ACCC-62447	NCBITaxon:2738125
kgmicrobe.strain:ACCC-62448	NCBITaxon:2954101
kgmicrobe.strain:ACCC-77/4167	NCBITaxon:32020
kgmicrobe.strain:ACCC-80/4172	NCBITaxon:32020
kgmicrobe.strain:ACCC17498	NCBITaxon:560535
kgmicrobe.strain:ACCC19926	NCBITaxon:1781068
kgmicrobe.strain:ACM-1762	NCBITaxon:1111736
kgmicrobe.strain:ACM-1771	NCBITaxon:983594
kgmicrobe.strain:ACM-1975	NCBITaxon:716541
kgmicrobe.strain:ACM-2034	NCBITaxon:485918
kgmicrobe.strain:ACM-2041	NCBITaxon:52761
kgmicrobe.strain:ACM-2042	NCBITaxon:52762
kgmicrobe.strain:ACM-2507	NCBITaxon:34015
kgmicrobe.strain:ACM-2508	NCBITaxon:1112
kgmicrobe.strain:ACM-2601	NCBITaxon:39650
kgmicrobe.strain:ACM-2721	NCBITaxon:1042
kgmicrobe.strain:ACM-2844	NCBITaxon:1112
kgmicrobe.strain:ACM-3063	NCBITaxon:39122
kgmicrobe.strain:ACM-3107	NCBITaxon:416348
kgmicrobe.strain:ACM-3180	NCBITaxon:2024826
kgmicrobe.strain:ACM-3181	NCBITaxon:2024826
kgmicrobe.strain:ACM-3304	NCBITaxon:415
kgmicrobe.strain:ACM-3306	NCBITaxon:428
kgmicrobe.strain:ACM-3308	NCBITaxon:39774
kgmicrobe.strain:ACM-3309	NCBITaxon:134
kgmicrobe.strain:ACM-3311	NCBITaxon:426
kgmicrobe.strain:ACM-3314	NCBITaxon:39775
kgmicrobe.strain:ACM-3505	NCBITaxon:39776
kgmicrobe.strain:ACM-3522	NCBITaxon:34070
kgmicrobe.strain:ACM-3539	NCBITaxon:1210006
kgmicrobe.strain:ACM-3540	NCBITaxon:1335
kgmicrobe.strain:ACM-3542	NCBITaxon:1987046
kgmicrobe.strain:ACM-3543	NCBITaxon:1987044
kgmicrobe.strain:ACM-3609	NCBITaxon:53354
kgmicrobe.strain:ACM-3611	NCBITaxon:1258574
kgmicrobe.strain:ACM-3612	NCBITaxon:315405
kgmicrobe.strain:ACM-3666	NCBITaxon:53417
kgmicrobe.strain:ACM-3679	NCBITaxon:1122957
kgmicrobe.strain:ACM-3680	NCBITaxon:33025
kgmicrobe.strain:ACM-3681	NCBITaxon:33025
kgmicrobe.strain:ACM-3847	NCBITaxon:315405
kgmicrobe.strain:ACM-3853	NCBITaxon:315405
kgmicrobe.strain:ACM-3911	NCBITaxon:1227466
kgmicrobe.strain:ACM-3917	NCBITaxon:1121425
kgmicrobe.strain:ACM-3969	NCBITaxon:315405
kgmicrobe.strain:ACM-3991	NCBITaxon:1121391
kgmicrobe.strain:ACM-489	NCBITaxon:1218107
kgmicrobe.strain:ACM-4958	NCBITaxon:409
kgmicrobe.strain:ACM-4959	NCBITaxon:409
kgmicrobe.strain:ACM-4960	NCBITaxon:409
kgmicrobe.strain:ACM-4961	NCBITaxon:409
kgmicrobe.strain:ACM-4962	NCBITaxon:28214
kgmicrobe.strain:ACM-497	NCBITaxon:1220593
kgmicrobe.strain:ACM-4982	NCBITaxon:1028307
kgmicrobe.strain:ACM-4987	NCBITaxon:43767
kgmicrobe.strain:ACM-4991	NCBITaxon:91891
kgmicrobe.strain:ACM-5005	NCBITaxon:52763
kgmicrobe.strain:ACM-5017	NCBITaxon:1121883
kgmicrobe.strain:ACM-5042	NCBITaxon:1122973
kgmicrobe.strain:ACM-5044	NCBITaxon:197
kgmicrobe.strain:ACM-5076	NCBITaxon:1120987
