lpsn_id	name	rank	authority	url	deprecated	status	validly_published	legitimate	is_correct_name	parent_lpsn_id	ncbitaxon_ids	gtdb_ids	type_strain_ids	synonym_of	publications	sequence_accessions
lpsn:793269	Lysobacter lycopersici	SPECIES	Lin et al. 2015	https://lpsn.dsmz.de/species/lysobacter-lycopersici	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:515987			kgmicrobe.strain:JCM-19164		PMID:25750064|doi:10.1007/s10482-015-0419-1|doi:10.1099/ijsem.0.000464	INSDC:KC820654
lpsn:793271	Micromonospora palomenae	SPECIES	Fang et al. 2015	https://lpsn.dsmz.de/species/micromonospora-palomenae	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516092	NCBITaxon:1461247		kgmicrobe.strain:JCM-30056		PMID:25957972|doi:10.1007/s10482-015-0472-9|doi:10.1099/ijsem.0.000464	INSDC:KF887911
lpsn:793272	Nocardia rhizosphaerae	SPECIES	Wang et al. 2015	https://lpsn.dsmz.de/species/nocardia-rhizosphaerae	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:516182	NCBITaxon:1691571	GTDB:s__Nocardia_rhizosphaerae	kgmicrobe.strain:DSM-102210|kgmicrobe.strain:KCTC-29678		PMID:25896308|doi:10.1007/s10482-015-0460-0|doi:10.1099/ijsem.0.000464	INSDC:KP972639
lpsn:793273	Nocardioides solisilvae	SPECIES	Sultanpuram et al. 2015	https://lpsn.dsmz.de/species/nocardioides-solisilvae	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516183	NCBITaxon:1542435	GTDB:s__Nocardioides_solisilvae	kgmicrobe.strain:KCTC-39528		PMID:25893957|doi:10.1007/s10482-015-0455-x|doi:10.1099/ijsem.0.000464	INSDC:LN555580
lpsn:793274	Okibacterium endophyticum	SPECIES	Wang et al. 2015	https://lpsn.dsmz.de/species/okibacterium-endophyticum	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516208	NCBITaxon:1521118		kgmicrobe.strain:DSM-28749|kgmicrobe.strain:JCM-30086|kgmicrobe.strain:KCTC-29492		PMID:25566956|doi:10.1007/s10482-014-0376-0|doi:10.1099/ijsem.0.000464	INSDC:KM114213
lpsn:793276	Aureimonas glaciistagni	SPECIES	Cho et al. 2015	https://lpsn.dsmz.de/species/aureimonas-glaciistagni	1	legitimate=True; validly published under the ICNP; synonym (and not recommended for medical use)	1	1	0	lpsn:518147	NCBITaxon:1541956		kgmicrobe.strain:JCM-30183	lpsn:64540	PMID:26296341|doi:10.1099/ijsem.0.000453|doi:10.1099/ijsem.0.000745	INSDC:KM273177
lpsn:793277	Bacillus stamsii	SPECIES	Müller et al. 2016	https://lpsn.dsmz.de/species/bacillus-stamsii	1	legitimate=True; validly published under the ICNP; synonym (and not recommended for medical use)	1	1	0	lpsn:515217			kgmicrobe.strain:DSM-19598|kgmicrobe.strain:JCM-30025	lpsn:7417	PMID:26194116|doi:10.1016/j.syapm.2015.06.004|doi:10.1099/ijsem.0.000737	INSDC:AY189804
lpsn:793278	Sulfurifustis variabilis	SPECIES	Kojima et al. 2015	https://lpsn.dsmz.de/species/sulfurifustis-variabilis	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518792	NCBITaxon:1675686	GTDB:s__Sulfurifustis_variabilis	kgmicrobe.strain:DSM-100313|kgmicrobe.strain:NBRC-110942		PMID:26220671|doi:10.1099/ijsem.0.000479|doi:10.1099/ijsem.0.000745	INSDC:LC062790
lpsn:793279	Acidihalobacter prosperus	SPECIES	Cárdenas et al. 2015	https://lpsn.dsmz.de/species/acidihalobacter-prosperus	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:515007	NCBITaxon:160660	GTDB:s__Acidihalobacter_prosperus	kgmicrobe.strain:DSM-5130|kgmicrobe.strain:JCM-30709		PMID:26198437|doi:10.1099/ijsem.0.000468|doi:10.1099/ijsem.0.000745	INSDC:EU653291
lpsn:793280	Alkalimarinus sediminis	SPECIES	Zhao et al. 2015	https://lpsn.dsmz.de/species/alkalimarinus-sediminis	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518793	NCBITaxon:1632866	GTDB:s__Alkalimarinus_sediminis	kgmicrobe.strain:KCTC-42258		PMID:26297022|doi:10.1099/ijsem.0.000446|doi:10.1099/ijsem.0.000745	INSDC:KP178167
