old_taxon_id	current_taxon_id
NCBITaxon:1003823	NCBITaxon:3359895
NCBITaxon:1003842	NCBITaxon:3734650
NCBITaxon:1003858	NCBITaxon:510951
NCBITaxon:100386	NCBITaxon:99840
NCBITaxon:100387	NCBITaxon:99856
NCBITaxon:1003895	NCBITaxon:256338
NCBITaxon:1003897	NCBITaxon:176992
NCBITaxon:1003898	NCBITaxon:59325
NCBITaxon:1003903	NCBITaxon:431297
NCBITaxon:1003905	NCBITaxon:176992
NCBITaxon:1003966	NCBITaxon:3051914
NCBITaxon:100397	NCBITaxon:3336859
NCBITaxon:1004019	NCBITaxon:547958
NCBITaxon:1004058	NCBITaxon:73649
NCBITaxon:1004074	NCBITaxon:73701
NCBITaxon:1004076	NCBITaxon:73681
NCBITaxon:1004081	NCBITaxon:73714
NCBITaxon:100411	NCBITaxon:1658481
NCBITaxon:1004154	NCBITaxon:3386258
NCBITaxon:1004206	NCBITaxon:889165
NCBITaxon:1004270	NCBITaxon:1004279
NCBITaxon:1004275	NCBITaxon:1004279
NCBITaxon:1004335	NCBITaxon:1159294
NCBITaxon:1004385	NCBITaxon:588563
NCBITaxon:10044	NCBITaxon:3774379
NCBITaxon:1004450	NCBITaxon:150568
NCBITaxon:1004459	NCBITaxon:177193
NCBITaxon:1004487	NCBITaxon:1004492
NCBITaxon:1004488	NCBITaxon:1004492
NCBITaxon:1004489	NCBITaxon:1004492
NCBITaxon:1004490	NCBITaxon:1004492
NCBITaxon:1004491	NCBITaxon:1004492
NCBITaxon:1004493	NCBITaxon:1004492
NCBITaxon:100455	NCBITaxon:1747747
NCBITaxon:1004588	NCBITaxon:1004583
NCBITaxon:100459	NCBITaxon:460200
NCBITaxon:100470	NCBITaxon:100469
NCBITaxon:100471	NCBITaxon:103621
NCBITaxon:100472	NCBITaxon:103621
NCBITaxon:1004722	NCBITaxon:941433
NCBITaxon:1004765	NCBITaxon:420324
NCBITaxon:1004789	NCBITaxon:929999
NCBITaxon:1004890	NCBITaxon:101473
NCBITaxon:100490	NCBITaxon:72228
NCBITaxon:1004925	NCBITaxon:945052
NCBITaxon:1004937	NCBITaxon:3320665
NCBITaxon:1004959	NCBITaxon:472213
NCBITaxon:1004960	NCBITaxon:582874
NCBITaxon:1004963	NCBITaxon:582880
NCBITaxon:1004966	NCBITaxon:582872
NCBITaxon:10050	NCBITaxon:1047088
NCBITaxon:100500	NCBITaxon:100497
NCBITaxon:1005010	NCBITaxon:1301518
NCBITaxon:1005050	NCBITaxon:91200
NCBITaxon:1005054	NCBITaxon:930113
NCBITaxon:1005083	NCBITaxon:88207
NCBITaxon:100523	NCBITaxon:119366
NCBITaxon:1005381	NCBITaxon:1005387
NCBITaxon:1005383	NCBITaxon:2916992
NCBITaxon:1005384	NCBITaxon:256635
NCBITaxon:1005525	NCBITaxon:1286877
NCBITaxon:1005661	NCBITaxon:3082107
NCBITaxon:1005664	NCBITaxon:1005665
NCBITaxon:1005666	NCBITaxon:1005667
NCBITaxon:1005668	NCBITaxon:1005667
NCBITaxon:1005669	NCBITaxon:1005665
NCBITaxon:1005684	NCBITaxon:321416
NCBITaxon:1005686	NCBITaxon:321416
NCBITaxon:1005688	NCBITaxon:691780
NCBITaxon:1005689	NCBITaxon:321416
NCBITaxon:1005699	NCBITaxon:35729
NCBITaxon:1005701	NCBITaxon:581055
NCBITaxon:100571	NCBITaxon:2213075
NCBITaxon:1005723	NCBITaxon:128142
NCBITaxon:1005942	NCBITaxon:35729
NCBITaxon:1005957	NCBITaxon:8425
NCBITaxon:100596	NCBITaxon:1163369
NCBITaxon:1005998	NCBITaxon:745277
NCBITaxon:1006016	NCBITaxon:1035702
NCBITaxon:1006018	NCBITaxon:1070833
NCBITaxon:1006019	NCBITaxon:1070690
NCBITaxon:1006020	NCBITaxon:1070697
NCBITaxon:1006021	NCBITaxon:1071023
NCBITaxon:1006022	NCBITaxon:1070531
NCBITaxon:1006024	NCBITaxon:1070530
NCBITaxon:1006025	NCBITaxon:1070830
NCBITaxon:1006026	NCBITaxon:1070676
NCBITaxon:1006027	NCBITaxon:1070827
NCBITaxon:1006029	NCBITaxon:1070529
NCBITaxon:1006030	NCBITaxon:1035687
NCBITaxon:1006031	NCBITaxon:1070689
NCBITaxon:1006032	NCBITaxon:1070810
NCBITaxon:1006034	NCBITaxon:1069547
NCBITaxon:1006035	NCBITaxon:1071029
NCBITaxon:1006036	NCBITaxon:1071031
NCBITaxon:1006037	NCBITaxon:1070801
NCBITaxon:1006038	NCBITaxon:1071027
NCBITaxon:1006039	NCBITaxon:1070826
NCBITaxon:100604	NCBITaxon:100495
NCBITaxon:1006040	NCBITaxon:1035696
NCBITaxon:1006041	NCBITaxon:1070812
NCBITaxon:1006042	NCBITaxon:1070527
NCBITaxon:1006043	NCBITaxon:1070740
NCBITaxon:1006044	NCBITaxon:1071026
NCBITaxon:1006045	NCBITaxon:1070684
NCBITaxon:1006046	NCBITaxon:1070683
NCBITaxon:1006048	NCBITaxon:1070682
NCBITaxon:1006049	NCBITaxon:1070687
NCBITaxon:1006050	NCBITaxon:1070836
NCBITaxon:1006051	NCBITaxon:1070802
NCBITaxon:1006052	NCBITaxon:1068955
NCBITaxon:1006053	NCBITaxon:1070813
NCBITaxon:1006056	NCBITaxon:1071024
NCBITaxon:1006057	NCBITaxon:1070831
NCBITaxon:1006058	NCBITaxon:1071025
NCBITaxon:1006059	NCBITaxon:1070832
NCBITaxon:100606	NCBITaxon:279233
NCBITaxon:1006156	NCBITaxon:1006155
NCBITaxon:100616	NCBITaxon:228091
NCBITaxon:100617	NCBITaxon:100452
NCBITaxon:100618	NCBITaxon:100452
NCBITaxon:1006180	NCBITaxon:74635
NCBITaxon:100619	NCBITaxon:100452
NCBITaxon:1006202	NCBITaxon:1007126
NCBITaxon:1006349	NCBITaxon:317050
