strain_id	bacdive_id	designation	taxon_ids	lpsn_ids	culture_collection_ids	medium_count
kgmicrobe.strain:bacdive_5182	5182	H105-36/86	NCBITaxon:158852	lpsn:782814	kgmicrobe.strain:ATCC-49493|kgmicrobe.strain:CDC-2421-87|kgmicrobe.strain:DSM-19941	0
kgmicrobe.strain:bacdive_5183	5183		NCBITaxon:379893	lpsn:786133	kgmicrobe.strain:BCRC-17577|kgmicrobe.strain:DSM-22557|kgmicrobe.strain:Eant-3-9|kgmicrobe.strain:LMG-23580	0
kgmicrobe.strain:bacdive_5184	5184	T 228, T228	NCBITaxon:40576		kgmicrobe.strain:ATCC-35271|kgmicrobe.strain:CCM-7080|kgmicrobe.strain:CIP-109144|kgmicrobe.strain:DSM-4766|kgmicrobe.strain:UQM-2210	0
kgmicrobe.strain:bacdive_5185	5185		NCBITaxon:406817	lpsn:783170	kgmicrobe.strain:ATCC-19061|kgmicrobe.strain:CCM-7081|kgmicrobe.strain:CCUG-14189|kgmicrobe.strain:CIP-108994|kgmicrobe.strain:CUETM-8319|kgmicrobe.strain:DSM-3370|kgmicrobe.strain:LMG-1036	0
kgmicrobe.strain:bacdive_5186	5186	G1	NCBITaxon:40577		kgmicrobe.strain:ATCC-35272|kgmicrobe.strain:CIP-103468|kgmicrobe.strain:DSM-4768|kgmicrobe.strain:UQM-2216	0
kgmicrobe.strain:bacdive_5187	5187	Q 58, Q58	NCBITaxon:40578	lpsn:783153	kgmicrobe.strain:ATCC-49542|kgmicrobe.strain:CCM-7079|kgmicrobe.strain:CIP-109145|kgmicrobe.strain:DSM-4764|kgmicrobe.strain:UQM-2871	0
kgmicrobe.strain:bacdive_5188	5188	Q 58	NCBITaxon:40578	lpsn:783153	kgmicrobe.strain:DSM-4765|kgmicrobe.strain:UQM-2872	0
kgmicrobe.strain:bacdive_5189	5189	SK-1	NCBITaxon:53341	lpsn:783164	kgmicrobe.strain:CIP-108997|kgmicrobe.strain:DSM-16522|kgmicrobe.strain:IAM-14265	0
kgmicrobe.strain:bacdive_5190	5190	Rar	NCBITaxon:1427518	lpsn:783179	kgmicrobe.strain:CIP-108895|kgmicrobe.strain:DSM-16338|kgmicrobe.strain:NCIMB-14019	0
kgmicrobe.strain:bacdive_5191	5191	Ser	NCBITaxon:290111	lpsn:783158	kgmicrobe.strain:CIP-108893|kgmicrobe.strain:DSM-16337	0
kgmicrobe.strain:bacdive_5192	5192	Sca	NCBITaxon:290109	lpsn:783163	kgmicrobe.strain:CIP-108894|kgmicrobe.strain:DSM-16336|kgmicrobe.strain:NCIMB-14017	0
kgmicrobe.strain:bacdive_5193	5193	Bic	NCBITaxon:290110	lpsn:783155	kgmicrobe.strain:CIP-108891|kgmicrobe.strain:DSM-16342|kgmicrobe.strain:NCIMB-14016	0
kgmicrobe.strain:bacdive_5194	5194	28	NCBITaxon:333964	lpsn:783162	kgmicrobe.strain:CCM-7375|kgmicrobe.strain:CIP-108830|kgmicrobe.strain:DSM-17382	0
kgmicrobe.strain:bacdive_5195	5195	42	NCBITaxon:333964	lpsn:783162	kgmicrobe.strain:DSM-17383	0
kgmicrobe.strain:bacdive_5196	5196	43	NCBITaxon:333964	lpsn:783162	kgmicrobe.strain:DSM-17384	0
kgmicrobe.strain:bacdive_5197	5197	OM01	NCBITaxon:333964	lpsn:783162	kgmicrobe.strain:CIP-109071|kgmicrobe.strain:DSM-17906	0
kgmicrobe.strain:bacdive_5198	5198	Q1	NCBITaxon:351674	lpsn:785784	kgmicrobe.strain:CIP-109069|kgmicrobe.strain:DSM-17902	0
kgmicrobe.strain:bacdive_5199	5199	KE01	NCBITaxon:351679	lpsn:785780	kgmicrobe.strain:CIP-109072|kgmicrobe.strain:DSM-17903	0
kgmicrobe.strain:bacdive_5200	5200	TH01	NCBITaxon:351614	lpsn:785786	kgmicrobe.strain:CIP-109067|kgmicrobe.strain:DSM-17904	0
kgmicrobe.strain:bacdive_5201	5201	USTX62	NCBITaxon:351673	lpsn:785777	kgmicrobe.strain:CIP-109066|kgmicrobe.strain:DSM-17905	0
kgmicrobe.strain:bacdive_5202	5202	SaV	NCBITaxon:351676	lpsn:785782	kgmicrobe.strain:CIP-109068|kgmicrobe.strain:DSM-17907	0
kgmicrobe.strain:bacdive_5203	5203	VC01	NCBITaxon:351675	lpsn:785783	kgmicrobe.strain:CIP-109075|kgmicrobe.strain:DSM-17908	0
kgmicrobe.strain:bacdive_5204	5204	FRM16	NCBITaxon:1123505	lpsn:785778	kgmicrobe.strain:CIP-109074|kgmicrobe.strain:DSM-17909	0
kgmicrobe.strain:bacdive_5205	5205	PR06-A	NCBITaxon:351677	lpsn:785785	kgmicrobe.strain:CIP-109070|kgmicrobe.strain:DSM-17910	0
kgmicrobe.strain:bacdive_5206	5206	ID10	NCBITaxon:351672	lpsn:785779	kgmicrobe.strain:CIP-109073|kgmicrobe.strain:DSM-17911	0
kgmicrobe.strain:bacdive_5207	5207	USNJ01	NCBITaxon:351659	lpsn:785781	kgmicrobe.strain:CIP-109199|kgmicrobe.strain:DSM-18168	0
kgmicrobe.strain:bacdive_5208	5208	VN01	NCBITaxon:351656	lpsn:788703	kgmicrobe.strain:CIP-109945|kgmicrobe.strain:DSM-22392	0
kgmicrobe.strain:bacdive_5209	5209		NCBITaxon:995054	lpsn:790093	kgmicrobe.strain:DSM-24915|kgmicrobe.strain:IMI-397775	0
kgmicrobe.strain:bacdive_5210	5210	33114	NCBITaxon:1218100		kgmicrobe.strain:ATCC-9610|kgmicrobe.strain:BCRC-13999|kgmicrobe.strain:CCM-7204|kgmicrobe.strain:CCUG-11291|kgmicrobe.strain:CCUG-12369|kgmicrobe.strain:CECT-4315|kgmicrobe.strain:CIP-80.27|kgmicrobe.strain:CNY-161|kgmicrobe.strain:DSM-4780|kgmicrobe.strain:ICMP-15678|kgmicrobe.strain:JCM-7577|kgmicrobe.strain:LMG-7899|kgmicrobe.strain:NBRC-105693|kgmicrobe.strain:NCTC-12982|kgmicrobe.strain:NRIC-0819|kgmicrobe.strain:VTT-E-97838|kgmicrobe.strain:WDCM-00038	0
kgmicrobe.strain:bacdive_5211	5211		NCBITaxon:150053		kgmicrobe.strain:CCUG-4586|kgmicrobe.strain:CCUG-8233|kgmicrobe.strain:CECT-8206|kgmicrobe.strain:CIP-81.41|kgmicrobe.strain:CNY-134|kgmicrobe.strain:DSM-9676|kgmicrobe.strain:IP-134|kgmicrobe.strain:LMG-15558|kgmicrobe.strain:NCTC-13629|kgmicrobe.strain:WDCM-00039	0
kgmicrobe.strain:bacdive_5212	5212		NCBITaxon:150052		kgmicrobe.strain:ATCC-700823|kgmicrobe.strain:CECT-754|kgmicrobe.strain:CIP-81.42|kgmicrobe.strain:CNY-383|kgmicrobe.strain:DSM-9499|kgmicrobe.strain:NCTC-11174|kgmicrobe.strain:WDCM-00215	0
kgmicrobe.strain:bacdive_5213	5213		NCBITaxon:150052		kgmicrobe.strain:ATCC-55075|kgmicrobe.strain:DSM-11067	0
kgmicrobe.strain:bacdive_5214	5214	H 5823/96	NCBITaxon:150053		kgmicrobe.strain:DSM-11502	0
kgmicrobe.strain:bacdive_5215	5215	H 1424/94	NCBITaxon:150052		kgmicrobe.strain:DSM-11503	0
kgmicrobe.strain:bacdive_5216	5216	14	NCBITaxon:1218101	lpsn:783202	kgmicrobe.strain:ATCC-29833|kgmicrobe.strain:CCUG-5855|kgmicrobe.strain:CIP-55.85|kgmicrobe.strain:DSM-8992|kgmicrobe.strain:JCM-1676|kgmicrobe.strain:NBRC-105692|kgmicrobe.strain:NCTC-10275	0
kgmicrobe.strain:bacdive_5217	5217	Y11	NCBITaxon:150053		kgmicrobe.strain:CCUG-52867|kgmicrobe.strain:CECT-9144|kgmicrobe.strain:CIP-106945|kgmicrobe.strain:DSM-13030|kgmicrobe.strain:WDCM-00216	0
kgmicrobe.strain:bacdive_5218	5218	Y159, H254-36/86, Y 159	NCBITaxon:263819	lpsn:783198	kgmicrobe.strain:CCUG-52872|kgmicrobe.strain:CIP-109000|kgmicrobe.strain:DSM-14987|kgmicrobe.strain:LMG-22254|kgmicrobe.strain:WA-120|kgmicrobe.strain:WA-758	0
kgmicrobe.strain:bacdive_5219	5219	Y228	NCBITaxon:367190	lpsn:783204	kgmicrobe.strain:CCUG-52882|kgmicrobe.strain:CIP-109846|kgmicrobe.strain:DSM-18211|kgmicrobe.strain:LMG-23763	0
kgmicrobe.strain:bacdive_5220	5220	H 271-36/78, H271-36/78, 3022-85	NCBITaxon:527004	lpsn:783203	kgmicrobe.strain:ATCC-43380|kgmicrobe.strain:CCUG-38833|kgmicrobe.strain:CDC-3022-85|kgmicrobe.strain:CIP-103163|kgmicrobe.strain:DSM-18270|kgmicrobe.strain:JCM-7376|kgmicrobe.strain:LMG-8454|kgmicrobe.strain:NBRC-105715	0
kgmicrobe.strain:bacdive_5221	5221		NCBITaxon:527002	lpsn:783197	kgmicrobe.strain:ATCC-35236|kgmicrobe.strain:CCUG-18770|kgmicrobe.strain:CDC-669-83|kgmicrobe.strain:CECT-4314|kgmicrobe.strain:CIP-103162|kgmicrobe.strain:CNY-6005|kgmicrobe.strain:DSM-18303|kgmicrobe.strain:JCM-5892	0
kgmicrobe.strain:bacdive_5222	5222		NCBITaxon:349966	lpsn:785222	kgmicrobe.strain:ATCC-33641|kgmicrobe.strain:CCUG-11293|kgmicrobe.strain:CIP-80.29|kgmicrobe.strain:CIP-8029|kgmicrobe.strain:CNY-6175|kgmicrobe.strain:DSM-18490|kgmicrobe.strain:NCTC-11470	0
kgmicrobe.strain:bacdive_5223	5223	2396-61	NCBITaxon:527005	lpsn:785227	kgmicrobe.strain:ATCC-29473|kgmicrobe.strain:CCM-6093|kgmicrobe.strain:CCUG-14190|kgmicrobe.strain:CDC-2396-61|kgmicrobe.strain:CECT-4319|kgmicrobe.strain:CIP-82.80|kgmicrobe.strain:DSM-18506|kgmicrobe.strain:JCM-15110|kgmicrobe.strain:JCM-2429|kgmicrobe.strain:NCIMB-2194|kgmicrobe.strain:NCTC-12986	0
kgmicrobe.strain:bacdive_5224	5224		NCBITaxon:349965	lpsn:785223	kgmicrobe.strain:ATCC-29909|kgmicrobe.strain:CCM-3558|kgmicrobe.strain:CCUG-11292|kgmicrobe.strain:CECT-4317|kgmicrobe.strain:CIP-80.28|kgmicrobe.strain:CNY-3953|kgmicrobe.strain:DSM-18517|kgmicrobe.strain:JCM-7579|kgmicrobe.strain:NCTC-11469|kgmicrobe.strain:WDCM-00217	0
kgmicrobe.strain:bacdive_5225	5225		NCBITaxon:349967	lpsn:785225	kgmicrobe.strain:ATCC-43969|kgmicrobe.strain:CCUG-26331|kgmicrobe.strain:CDC-2465-87|kgmicrobe.strain:CIP-103324|kgmicrobe.strain:CNY-7263|kgmicrobe.strain:DSM-18520	0
kgmicrobe.strain:bacdive_5226	5226		NCBITaxon:349968	lpsn:785220	kgmicrobe.strain:ATCC-43970|kgmicrobe.strain:CCUG-26329|kgmicrobe.strain:CIP-103323|kgmicrobe.strain:CNY-7506|kgmicrobe.strain:DSM-18528	0
kgmicrobe.strain:bacdive_5227	5227		NCBITaxon:28152		kgmicrobe.strain:ATCC-33638|kgmicrobe.strain:CCUG-11294|kgmicrobe.strain:CCUG-8241|kgmicrobe.strain:CDC-1458-81|kgmicrobe.strain:CIP-80.30|kgmicrobe.strain:CNY-105|kgmicrobe.strain:DSM-18543|kgmicrobe.strain:JCM-7576|kgmicrobe.strain:NCTC-11471	0
kgmicrobe.strain:bacdive_5228	5228	50640	NCBITaxon:1205683	lpsn:787295	kgmicrobe.strain:CCUG-53443|kgmicrobe.strain:CIP-109351|kgmicrobe.strain:DSM-21859	0
kgmicrobe.strain:bacdive_5229	5229	SpK, MH96	NCBITaxon:935293	lpsn:789166	kgmicrobe.strain:ATCC-BAA-1678|kgmicrobe.strain:CCUG-59867|kgmicrobe.strain:CIP-110202|kgmicrobe.strain:DSM-22339	0
kgmicrobe.strain:bacdive_5230	5230	APN3a-c	NCBITaxon:685706	lpsn:789521	kgmicrobe.strain:CCUG-60891|kgmicrobe.strain:CIP-110231|kgmicrobe.strain:DSM-22296|kgmicrobe.strain:LMG-25213	0
kgmicrobe.strain:bacdive_5231	5231	ABF6a-c	NCBITaxon:685706	lpsn:789521	kgmicrobe.strain:DSM-22297	0
kgmicrobe.strain:bacdive_5232	5232	ÅYV7.1KOH2, AYV7.1KOH2	NCBITaxon:687899	lpsn:789522	kgmicrobe.strain:CCUG-60991|kgmicrobe.strain:CIP-110230|kgmicrobe.strain:DSM-22769|kgmicrobe.strain:LMG-25369	0
kgmicrobe.strain:bacdive_5233	5233	Å125KOH2	NCBITaxon:1288385	lpsn:789522	kgmicrobe.strain:DSM-22770	0
kgmicrobe.strain:bacdive_5234	5234	3349-72	NCBITaxon:158877	lpsn:783205	kgmicrobe.strain:ATCC-35313|kgmicrobe.strain:CCUG-18772|kgmicrobe.strain:CDC-3349-72|kgmicrobe.strain:CIP-103033|kgmicrobe.strain:DSM-5079|kgmicrobe.strain:JCM-3958|kgmicrobe.strain:LMG-7872|kgmicrobe.strain:NCTC-12131|kgmicrobe.strain:PCM-2476	0
kgmicrobe.strain:bacdive_5235	5235		NCBITaxon:1123402	lpsn:785103	kgmicrobe.strain:CCUG-49520|kgmicrobe.strain:CIP-108754|kgmicrobe.strain:DSM-18579	0
kgmicrobe.strain:bacdive_5236	5236		NCBITaxon:28141		kgmicrobe.strain:ATCC-29544|kgmicrobe.strain:BCRC-13988|kgmicrobe.strain:CCUG-14558|kgmicrobe.strain:CDC-4562-70|kgmicrobe.strain:CECT-858|kgmicrobe.strain:CGMCC-1.6765|kgmicrobe.strain:CIP-103183|kgmicrobe.strain:DSM-4485|kgmicrobe.strain:HUT-8109|kgmicrobe.strain:IAM-12660|kgmicrobe.strain:JCM-1233|kgmicrobe.strain:KCTC-2949|kgmicrobe.strain:LMG-5740|kgmicrobe.strain:NBRC-102416|kgmicrobe.strain:NBRC-105698|kgmicrobe.strain:NCTC-11467|kgmicrobe.strain:VTT-E-991283|kgmicrobe.strain:WDCM-00214	0
kgmicrobe.strain:bacdive_5237	5237	E825	NCBITaxon:1159491	lpsn:787374	kgmicrobe.strain:API-76-2121|kgmicrobe.strain:CCUG-56035|kgmicrobe.strain:CDC-1058-77|kgmicrobe.strain:DSM-18702|kgmicrobe.strain:LMG-23826	0
kgmicrobe.strain:bacdive_5238	5238	3032	NCBITaxon:693216	lpsn:787377	kgmicrobe.strain:CCUG-55852|kgmicrobe.strain:DSM-18703|kgmicrobe.strain:LMG-23827	0
kgmicrobe.strain:bacdive_5239	5239	CFS237	NCBITaxon:1159554		kgmicrobe.strain:CCUG-55851|kgmicrobe.strain:DES-187|kgmicrobe.strain:DSM-18705|kgmicrobe.strain:JCM-16467|kgmicrobe.strain:LMG-23823	0
kgmicrobe.strain:bacdive_5240	5240	E464	NCBITaxon:1159496		kgmicrobe.strain:CCUG-58094|kgmicrobe.strain:DSM-18707|kgmicrobe.strain:JCM-16468|kgmicrobe.strain:LMG-23825	0
kgmicrobe.strain:bacdive_5241	5241	E515	NCBITaxon:1159560		kgmicrobe.strain:CCUG-58095|kgmicrobe.strain:DSM-18706|kgmicrobe.strain:LMG-23824	0
kgmicrobe.strain:bacdive_5242	5242	83-07-023, E603, LRA 023 07 83	NCBITaxon:1159613	lpsn:787375	kgmicrobe.strain:ATCC-51329|kgmicrobe.strain:CECT-9143|kgmicrobe.strain:CIP-103581|kgmicrobe.strain:DSM-21870|kgmicrobe.strain:WDCM-00213	0
kgmicrobe.strain:bacdive_5243	5243	MSSRF40	NCBITaxon:451513	lpsn:786641	kgmicrobe.strain:DSM-19579|kgmicrobe.strain:LMG-24236	0
kgmicrobe.strain:bacdive_5244	5244	BF36, BF 36	NCBITaxon:466109	lpsn:786642	kgmicrobe.strain:CIP-109699|kgmicrobe.strain:DSM-19580	0
kgmicrobe.strain:bacdive_5245	5245	LS 8	NCBITaxon:395631	lpsn:779140	kgmicrobe.strain:CGMCC-1.5339|kgmicrobe.strain:DSM-17806|kgmicrobe.strain:LMG-23328	0
kgmicrobe.strain:bacdive_5246	5246	9005-74	NCBITaxon:630626	lpsn:788468	kgmicrobe.strain:ATCC-29907|kgmicrobe.strain:BCRC-15589|kgmicrobe.strain:CCUG-14803|kgmicrobe.strain:CCUG-14803-B|kgmicrobe.strain:CDC-9005-74|kgmicrobe.strain:CGMCC-1.3440|kgmicrobe.strain:CIP-103175|kgmicrobe.strain:CIP-104942|kgmicrobe.strain:DSM-4481|kgmicrobe.strain:HAMBI-1692|kgmicrobe.strain:JCM-1650|kgmicrobe.strain:JCM-24308|kgmicrobe.strain:LMG-3030|kgmicrobe.strain:NBRC-105725|kgmicrobe.strain:NCTC-12127|kgmicrobe.strain:VTT-E-042574	0
kgmicrobe.strain:bacdive_5247	5247	007, 521	NCBITaxon:570012	lpsn:788467	kgmicrobe.strain:DSM-3038|kgmicrobe.strain:LMG-24835|kgmicrobe.strain:NCIMB-14534	0
kgmicrobe.strain:bacdive_5248	5248	Am-4	NCBITaxon:570012	lpsn:788467	kgmicrobe.strain:DSM-22121|kgmicrobe.strain:NCIMB-14535	0
kgmicrobe.strain:bacdive_5249	5249		NCBITaxon:929813	lpsn:789118	kgmicrobe.strain:DSM-25889|kgmicrobe.strain:FRB-97|kgmicrobe.strain:JCM-30407|kgmicrobe.strain:LMG-25500|kgmicrobe.strain:NCPPB-4470	0
kgmicrobe.strain:bacdive_5250	5250		NCBITaxon:184072	lpsn:779877	kgmicrobe.strain:ATCC-19692|kgmicrobe.strain:BCRC-12222|kgmicrobe.strain:CCRC-12222|kgmicrobe.strain:CCUG-18769|kgmicrobe.strain:CIP-106872|kgmicrobe.strain:DSM-4482|kgmicrobe.strain:JCM-1670|kgmicrobe.strain:LMG-7876|kgmicrobe.strain:NBRC-105711|kgmicrobe.strain:NCIMB-13273	0
kgmicrobe.strain:bacdive_5251	5251	1	NCBITaxon:71657	lpsn:789978	kgmicrobe.strain:ATCC-29281|kgmicrobe.strain:CCUG-48867|kgmicrobe.strain:CFBP-3617|kgmicrobe.strain:CIP-105201|kgmicrobe.strain:DSM-4561|kgmicrobe.strain:ICMP-1845|kgmicrobe.strain:ICPB-EQ-101|kgmicrobe.strain:LMG-2724|kgmicrobe.strain:NCPPB-1852|kgmicrobe.strain:PDDCC-1845	0
kgmicrobe.strain:bacdive_5252	5252		NCBITaxon:300419	lpsn:774508	kgmicrobe.strain:CCUG-49459|kgmicrobe.strain:CIP-108575|kgmicrobe.strain:DSM-18331|kgmicrobe.strain:SAC-M35/04/3	0
kgmicrobe.strain:bacdive_5253	5253	dl 2, TVA 7-16	NCBITaxon:1513897		kgmicrobe.strain:DSM-20337|kgmicrobe.strain:IAM-1683|kgmicrobe.strain:JCM-20252|kgmicrobe.strain:NISL-7128	0
kgmicrobe.strain:bacdive_5254	5254		NCBITaxon:1513897		kgmicrobe.strain:DSM-20338|kgmicrobe.strain:IAM-1693|kgmicrobe.strain:IFO-12172|kgmicrobe.strain:JCM-20259|kgmicrobe.strain:NBRC-12172|kgmicrobe.strain:NCDO-1872|kgmicrobe.strain:NCIB-9735|kgmicrobe.strain:NCIMB-9735|kgmicrobe.strain:NISL-7117	0
kgmicrobe.strain:bacdive_5255	5255	T11	NCBITaxon:1123358		kgmicrobe.strain:ATCC-33315|kgmicrobe.strain:BCRC-12550|kgmicrobe.strain:CCM-3458|kgmicrobe.strain:CCUG-32204|kgmicrobe.strain:CECT-4792|kgmicrobe.strain:CIP-102263|kgmicrobe.strain:DSM-20339|kgmicrobe.strain:IAM-12284|kgmicrobe.strain:IAM-1676|kgmicrobe.strain:JCM-5888|kgmicrobe.strain:LMG-11490|kgmicrobe.strain:NBRC-100498|kgmicrobe.strain:NCDO-1635|kgmicrobe.strain:NCFB-1635|kgmicrobe.strain:NCIMB-12011	0
kgmicrobe.strain:bacdive_5256	5256	885/78, 885-78	NCBITaxon:1223494	lpsn:782433	kgmicrobe.strain:ATCC-49428|kgmicrobe.strain:CCM-4217|kgmicrobe.strain:CCUG-29293|kgmicrobe.strain:CDC-885-78|kgmicrobe.strain:CIP-103330|kgmicrobe.strain:DSM-5634|kgmicrobe.strain:JCM-8736|kgmicrobe.strain:KCTC-3553|kgmicrobe.strain:KCTC-3923|kgmicrobe.strain:LMG-12890|kgmicrobe.strain:NBRC-100494|kgmicrobe.strain:NCIMB-12902|kgmicrobe.strain:NCTC-12193	0
kgmicrobe.strain:bacdive_5257	5257	X-1	NCBITaxon:1123359	lpsn:782432	kgmicrobe.strain:CCUG-41880|kgmicrobe.strain:CIP-105747|kgmicrobe.strain:DSM-15685|kgmicrobe.strain:JCM-10006|kgmicrobe.strain:KCTC-21008|kgmicrobe.strain:LMG-18498|kgmicrobe.strain:NBRC-100499	0
kgmicrobe.strain:bacdive_5258	5258	Jenil, JS	NCBITaxon:290335	lpsn:782431	kgmicrobe.strain:CCUG-52901|kgmicrobe.strain:CIP-108884|kgmicrobe.strain:DSM-16501|kgmicrobe.strain:JCM-18085|kgmicrobe.strain:KCTC-3924|kgmicrobe.strain:LMG-22864|kgmicrobe.strain:NBRC-106072	0
kgmicrobe.strain:bacdive_5259	5259	T1	NCBITaxon:526944	lpsn:789648	kgmicrobe.strain:DSM-23765|kgmicrobe.strain:JCM-31126|kgmicrobe.strain:LMG-10702|kgmicrobe.strain:LMG-26041	0
kgmicrobe.strain:bacdive_5260	5260	T5	NCBITaxon:1513898		kgmicrobe.strain:DSM-23766|kgmicrobe.strain:JCM-31127|kgmicrobe.strain:LMG-26042	0
kgmicrobe.strain:bacdive_5261	5261	OS1-68	NCBITaxon:2739	lpsn:782942	kgmicrobe.strain:ATCC-51200|kgmicrobe.strain:CCM-4305|kgmicrobe.strain:CCUG-33394|kgmicrobe.strain:CIP-104684|kgmicrobe.strain:DSM-6633|kgmicrobe.strain:LMG-11491|kgmicrobe.strain:NCFB-2777|kgmicrobe.strain:NCIMB-13133	0
kgmicrobe.strain:bacdive_5262	5262	M-29c	NCBITaxon:2738	lpsn:782940	kgmicrobe.strain:ATCC-49515|kgmicrobe.strain:CCUG-32704|kgmicrobe.strain:CIP-102976|kgmicrobe.strain:DSM-5731|kgmicrobe.strain:LMG-9464|kgmicrobe.strain:NCDO-2497	0
kgmicrobe.strain:bacdive_5263	5263	M-128f	NCBITaxon:2738	lpsn:782940	kgmicrobe.strain:DSM-5732|kgmicrobe.strain:NCDO-2499	0
kgmicrobe.strain:bacdive_5264	5264	ENDO-EH	NCBITaxon:2738	lpsn:782940	kgmicrobe.strain:DSM-21402	0
kgmicrobe.strain:bacdive_5265	5265	M2661/98/1	NCBITaxon:120370	lpsn:782939	kgmicrobe.strain:ATCC-BAA-289|kgmicrobe.strain:CCM-8413|kgmicrobe.strain:CCUG-41755|kgmicrobe.strain:CIP-106499|kgmicrobe.strain:DSM-15697	0
kgmicrobe.strain:bacdive_5266	5266	M1134/97/1	NCBITaxon:81947	lpsn:782941	kgmicrobe.strain:ATCC-70083|kgmicrobe.strain:ATCC-700839|kgmicrobe.strain:CCM-4937|kgmicrobe.strain:CCUG-39187|kgmicrobe.strain:CIP-106118|kgmicrobe.strain:DSM-15741	0
kgmicrobe.strain:bacdive_5267	5267		NCBITaxon:218144	lpsn:782938	kgmicrobe.strain:ATCC-BAA-640|kgmicrobe.strain:CCM-8414|kgmicrobe.strain:CCUG-46823|kgmicrobe.strain:CDC-SS1714|kgmicrobe.strain:CIP-108561|kgmicrobe.strain:DSM-17031	0
kgmicrobe.strain:bacdive_5268	5268	PPC9	NCBITaxon:180344	lpsn:786119	kgmicrobe.strain:CCM-8415|kgmicrobe.strain:CCUG-51432|kgmicrobe.strain:CIP-109559|kgmicrobe.strain:DSM-21480|kgmicrobe.strain:NRRL-B-41357	0
kgmicrobe.strain:bacdive_5269	5269	R 6566	NCBITaxon:33945	lpsn:775957	kgmicrobe.strain:DSM-20063|kgmicrobe.strain:JCM-5700	0
kgmicrobe.strain:bacdive_5270	5270	E6844, W17	NCBITaxon:1140002	lpsn:775957	kgmicrobe.strain:ATCC-14025|kgmicrobe.strain:BCRC-10801|kgmicrobe.strain:BCRC-14728|kgmicrobe.strain:CCM-4049|kgmicrobe.strain:CCUG-7983|kgmicrobe.strain:CECT-968|kgmicrobe.strain:CIP-103019|kgmicrobe.strain:DSM-20679|kgmicrobe.strain:IMET-3257|kgmicrobe.strain:JCM-8722|kgmicrobe.strain:LMG-10744|kgmicrobe.strain:NBRC-100477|kgmicrobe.strain:NCDO-2369|kgmicrobe.strain:NCIMB-702369|kgmicrobe.strain:NCTC-9938|kgmicrobe.strain:VKM-B-1673|kgmicrobe.strain:VTT-E-97804	0
kgmicrobe.strain:bacdive_5271	5271	491, H.3.1	NCBITaxon:888066	lpsn:775959	kgmicrobe.strain:ATCC-12755|kgmicrobe.strain:DSM-4841|kgmicrobe.strain:NCFB-2725	0
kgmicrobe.strain:bacdive_5272	5272	CA 2	NCBITaxon:1158603	lpsn:775959	kgmicrobe.strain:ATCC-49996|kgmicrobe.strain:CCM-4239|kgmicrobe.strain:CCM-439|kgmicrobe.strain:CCUG-30567|kgmicrobe.strain:CIP-103525|kgmicrobe.strain:DSM-7370	0
kgmicrobe.strain:bacdive_5273	5273	CA 3	NCBITaxon:37734	lpsn:775959	kgmicrobe.strain:CCM-4240|kgmicrobe.strain:CCUG-30568|kgmicrobe.strain:DSM-7371|kgmicrobe.strain:LMG-16313	0
kgmicrobe.strain:bacdive_5274	5274	CA 8	NCBITaxon:37734	lpsn:775959	kgmicrobe.strain:CCM-4241|kgmicrobe.strain:CCUG-30569|kgmicrobe.strain:DSM-7372|kgmicrobe.strain:LMG-16314	0
kgmicrobe.strain:bacdive_5275	5275	32488	NCBITaxon:37734	lpsn:775959	kgmicrobe.strain:CCUG-34231|kgmicrobe.strain:DSM-20382	0
kgmicrobe.strain:bacdive_5276	5276	20, W 99	NCBITaxon:1218087	lpsn:775959	kgmicrobe.strain:ATCC-25788|kgmicrobe.strain:CCM-2478|kgmicrobe.strain:CCUG-18657|kgmicrobe.strain:CECT-969|kgmicrobe.strain:CGMCC-1.9124|kgmicrobe.strain:CIP-103018|kgmicrobe.strain:DSM-20680|kgmicrobe.strain:JCM-8723|kgmicrobe.strain:KCTC-3638|kgmicrobe.strain:LMG-10745|kgmicrobe.strain:NBRC-100478|kgmicrobe.strain:NCDO-2372|kgmicrobe.strain:NCIB-11449|kgmicrobe.strain:NCIMB-11449|kgmicrobe.strain:NCTC-12361|kgmicrobe.strain:NRRL-B-3502|kgmicrobe.strain:VTT-E-97775	0
kgmicrobe.strain:bacdive_5277	5277		NCBITaxon:37734	lpsn:775959	kgmicrobe.strain:DSM-25781|kgmicrobe.strain:NCCP-11515	0
kgmicrobe.strain:bacdive_5278	5278	98 D, D3	NCBITaxon:1218088	lpsn:775963	kgmicrobe.strain:ATCC-19432|kgmicrobe.strain:BCRC-10790|kgmicrobe.strain:CCM-5612|kgmicrobe.strain:CCUG-7972|kgmicrobe.strain:CECT-411|kgmicrobe.strain:CGMCC-1.2284|kgmicrobe.strain:CIP-55.125|kgmicrobe.strain:DSM-20633|kgmicrobe.strain:JCM-8725|kgmicrobe.strain:LMG-10746|kgmicrobe.strain:LMG-12691|kgmicrobe.strain:NBRC-100479|kgmicrobe.strain:NCAIM-B.02010|kgmicrobe.strain:NCDO-596|kgmicrobe.strain:NCIMB-700596|kgmicrobe.strain:NCTC-8307|kgmicrobe.strain:VTT-E-97805	0
