taxon_id	label	rank	parent_id	genetic_code	exact_synonyms	related_synonyms	broad_synonyms	attested_by
NCBITaxon:3022867	unclassified Candidatus Gastranaerophilales	NO_RANK	NCBITaxon:1906119	11	unclassified Gastranaerophilales			
NCBITaxon:3023363	Spongiibacterium fuscum	SPECIES	NCBITaxon:444459	11				bacdive|lpsn
NCBITaxon:3023370	Mycobacterium antarcticum	SPECIES	NCBITaxon:1866885	11	Mycobacterium (subgen. Mycolicibacterium) antarcticum			lpsn|gold
NCBITaxon:3023713	Marinicella algicola	SPECIES	NCBITaxon:863253	11				lpsn|gold
NCBITaxon:3023714	Psychrosphaera algicola	SPECIES	NCBITaxon:907197	11				bacdive|lpsn|gold
NCBITaxon:3023715	Ningiella algicola	SPECIES	NCBITaxon:2751156	11				lpsn
NCBITaxon:3023783	Desulfobacteriaceae	FAMILY	NCBITaxon:213118	11		Desulfobacteriaceae Galushko and Kuever 2021		
NCBITaxon:3023805	Desulfocucumaceae	FAMILY	NCBITaxon:186802	11		Desulfocucumaceae Watanabe et al. 2021|Desulfocucumeraceae corrig. Watanabe et al. 2021		
NCBITaxon:3024158	Cyclonatronaceae	FAMILY	NCBITaxon:1853223	11		Natronogracilivirgulaceae		
NCBITaxon:3024215	Novosphingobium cyanobacteriorum	SPECIES	NCBITaxon:165696	11				bacdive|lpsn|gold
NCBITaxon:3024217	Pseudomonas fungipugnans	SPECIES	NCBITaxon:286	11				lpsn|gold
NCBITaxon:3024225	Thermospiraceae	FAMILY	NCBITaxon:1643687	11				
NCBITaxon:3024226	Thermospira	GENUS	NCBITaxon:3024225	11				lpsn
NCBITaxon:3024236	Lutispora saccharofermentans	SPECIES	NCBITaxon:667112	11				bacdive|lpsn|gold
NCBITaxon:3024237	Solicola	GENUS	NCBITaxon:85015	11				lpsn
NCBITaxon:3024242	Rhizobium binxianense	SPECIES	NCBITaxon:379	11				lpsn|gold
NCBITaxon:3024399	Cupriavidus phytorum	SPECIES	NCBITaxon:106589	11				lpsn
NCBITaxon:3024400	Gimibacter soli	SPECIES	NCBITaxon:3058346	11				bacdive|lpsn|gold
NCBITaxon:3024408	Syntrophobacteria	CLASS	NCBITaxon:200940	11				
NCBITaxon:3024411	Desulfobulbales	ORDER	NCBITaxon:3031451	11				gold
NCBITaxon:3024414	Desulfatiglandales	ORDER	NCBITaxon:3024418	11				
NCBITaxon:3024418	Desulfobacteria	CLASS	NCBITaxon:200940	11				
NCBITaxon:3024544	Paracrocinitomix	GENUS	NCBITaxon:1853230	11				
NCBITaxon:3024550	Phaeocystidibacteraceae	FAMILY	NCBITaxon:200644	11				
NCBITaxon:3024551	Owenweeksiaceae	FAMILY	NCBITaxon:200644	11				
NCBITaxon:3024570	Marinigracilibium	GENUS	NCBITaxon:200667	11				
NCBITaxon:3024823	Anaeromicropila	GENUS	NCBITaxon:186803	11				lpsn
NCBITaxon:3024868	Aquirufa regiilacus	SPECIES	NCBITaxon:2676247	11				bacdive|lpsn|mediadive|gold
NCBITaxon:3025073	Hugonella	GENUS	NCBITaxon:1643826	11				
NCBITaxon:3025312	Nocardia anocheti	SPECIES	NCBITaxon:1817	11				gold
NCBITaxon:3025479	Entrophosporaceae	FAMILY	NCBITaxon:3059595	1		Claroideoglomeraceae		
NCBITaxon:3025666	Mucilaginibacter florum	SPECIES	NCBITaxon:423349	11				gold
NCBITaxon:3025668	Flavobacterium oryzicola	SPECIES	NCBITaxon:237	11				lpsn
NCBITaxon:3025669	Sphingobacterium oryzagri	SPECIES	NCBITaxon:28453	11				bacdive|lpsn|gold
NCBITaxon:3025671	Mucilaginibacter oryzagri	SPECIES	NCBITaxon:423349	11				gold
NCBITaxon:3025672	Lacticaseibacillus pabuli	SPECIES	NCBITaxon:2759736	11				bacdive|lpsn|gold
NCBITaxon:3025679	Guptibacillus spartinae	SPECIES	NCBITaxon:3421338	11		Pseudalkalibacillus spartinae		bacdive|lpsn|gold
NCBITaxon:3025680	Guptibacillus sedimenti	SPECIES	NCBITaxon:3421338	11		Pseudalkalibacillus sedimenti		bacdive|lpsn|gold
NCBITaxon:3025755	Thomasclavelia	GENUS	NCBITaxon:2810280	11		Erysipelatoclostridium		lpsn|gold
NCBITaxon:3025782	Gillisella ampelina	SPECIES	NCBITaxon:3701761	11		Allorhizobium ampelinum		bacdive|lpsn|mediadive
NCBITaxon:3025858	Sulfoacidibacillus	GENUS	NCBITaxon:186823	11				lpsn
NCBITaxon:3025863	Ferroacidibacillus	GENUS	NCBITaxon:186823	11				lpsn
NCBITaxon:3025874	Xenorhabdus aichiensis	SPECIES	NCBITaxon:626	11				bacdive|lpsn|gold
NCBITaxon:3025875	Xenorhabdus anantnagensis	SPECIES	NCBITaxon:626	11				gold
NCBITaxon:3025878	Xenorhabdus yunnanensis	SPECIES	NCBITaxon:626	11				bacdive|lpsn|gold
NCBITaxon:3025936	Mannheimia cairinae	SPECIES	NCBITaxon:75984	11				lpsn|gold
NCBITaxon:3026146	Staphylococcus brunensis	SPECIES	NCBITaxon:1279	11				lpsn
NCBITaxon:3026162	Halosimplex aquaticum	SPECIES	NCBITaxon:171163	11				bacdive|lpsn|gold
NCBITaxon:3026192	Streptomyces luomodiensis	SPECIES	NCBITaxon:1883	11				bacdive|lpsn|gold
NCBITaxon:3026418	Devosia algicola	SPECIES	NCBITaxon:46913	11				bacdive|lpsn|gold
NCBITaxon:3026419	Curvibacter microcysteis	SPECIES	NCBITaxon:281915	11				lpsn|gold
NCBITaxon:3026422	Curvibacter cyanobacteriorum	SPECIES	NCBITaxon:281915	11				lpsn|gold
NCBITaxon:3026423	Devosia rhodophyticola	SPECIES	NCBITaxon:46913	11				bacdive|lpsn|gold
NCBITaxon:3026433	Paenibacillus marchantiae	SPECIES	NCBITaxon:44249	11				gold
NCBITaxon:3026437	Kaistella rhinocerotis	SPECIES	NCBITaxon:2782231	11				bacdive|lpsn|gold
NCBITaxon:3026462	Campylobacter magnus	SPECIES	NCBITaxon:194	11				lpsn|gold
NCBITaxon:3026546	Duffyella	GENUS	NCBITaxon:1903409	11				lpsn
NCBITaxon:3026934	Dictyobacter halimunensis	SPECIES	NCBITaxon:2024965	11				lpsn|gold
NCBITaxon:3026935	Thermus javaensis	SPECIES	NCBITaxon:270	11				lpsn
NCBITaxon:3026967	Xenorhabdus bakwenae	SPECIES	NCBITaxon:626	11				gold
NCBITaxon:3026968	Corynebacterium ramonii	SPECIES	NCBITaxon:1716	11		Corynebacterium ramonii FRC0011|Corynebacterium ulcerans FRC0011|Corynebacterium ulcerans FRC11|Corynebacterium ulcerans str. FRC11|Corynebacterium ulcerans strain FRC11		bacdive|lpsn|gold
NCBITaxon:3027471	Cohnella caldifontis	SPECIES	NCBITaxon:329857	11				lpsn|gold
NCBITaxon:3027666	Aristophania	GENUS	NCBITaxon:433	11				lpsn
NCBITaxon:3027807	Paenibacillus thermotolerans	SPECIES	NCBITaxon:44249	11				bacdive|lpsn|gold
NCBITaxon:3027808	Candidatus Mycobacterium wuenschmannii	SPECIES	NCBITaxon:1763	11	Mycobacterium wuenschmannii			gold
NCBITaxon:3027921	Microbacterium thalli	SPECIES	NCBITaxon:33882	11				bacdive|lpsn|gold
NCBITaxon:3027932	Vibrio chanodichtyis	SPECIES	NCBITaxon:662	11				bacdive|lpsn|gold
NCBITaxon:3027942	Thermomicrobiota	PHYLUM	NCBITaxon:3379134	11	Thermomicrobia	Thermomicrobaeota|Thermomicrobiota corrig. Garrity and Holt 2021		
NCBITaxon:3028070	Claveliimonas bilis	SPECIES	NCBITaxon:3076670	11				bacdive|lpsn|mediadive|gold
NCBITaxon:3028082	Streptococcus suivaginalis	SPECIES	NCBITaxon:1301	11				lpsn|gold
NCBITaxon:3028084	Streptococcus iners	SPECIES	NCBITaxon:1301	11				lpsn|gold
NCBITaxon:3028117	Cyanophyceae	CLASS	NCBITaxon:1117	11	c__Cyanobacteriia	Gloeobacteria		
NCBITaxon:3028235	Roseinatronobacter alkalisoli	SPECIES	NCBITaxon:121820	11				bacdive|lpsn
NCBITaxon:3028293	Methanimicrococcus hacksteinii	SPECIES	NCBITaxon:91559	11				bacdive|lpsn|gold
NCBITaxon:3028294	Methanimicrococcus stummii	SPECIES	NCBITaxon:91559	11				bacdive|lpsn|gold
NCBITaxon:3028295	Methanimicrococcus hongohii	SPECIES	NCBITaxon:91559	11				bacdive|lpsn
NCBITaxon:3028296	Methanolapillus millepedarum	SPECIES	NCBITaxon:3136068	11				bacdive|lpsn|mediadive|gold
NCBITaxon:3028297	Methanolapillus africanus	SPECIES	NCBITaxon:3136068	11				bacdive|lpsn|mediadive|gold
NCBITaxon:3028298	Methanolapillus ohkumae	SPECIES	NCBITaxon:3136068	11				bacdive|lpsn|mediadive|gold
NCBITaxon:3028299	Methanorbis furvi	SPECIES	NCBITaxon:3136059	11				bacdive|mediadive|gold
NCBITaxon:3028300	Methanorbis rubei	SPECIES	NCBITaxon:3136059	11				bacdive|mediadive|gold
NCBITaxon:3028314	Oceanimonas pelagia	SPECIES	NCBITaxon:129577	11				lpsn|gold
NCBITaxon:3028316	Microbacterium horticulturae	SPECIES	NCBITaxon:33882	11				bacdive|lpsn|gold
NCBITaxon:3028317	Georgenia halotolerans	SPECIES	NCBITaxon:154116	11				bacdive|lpsn
NCBITaxon:3028534	Aporhodopirellula	GENUS	NCBITaxon:2691357	11				lpsn
NCBITaxon:3028535	Allorhodopirellula	GENUS	NCBITaxon:2691357	11				lpsn
NCBITaxon:3028536	Neorhodopirellula	GENUS	NCBITaxon:2691357	11				lpsn
NCBITaxon:3028615	Amycolatopsis solani	SPECIES	NCBITaxon:1813	11				bacdive|lpsn|gold
NCBITaxon:3028623	Jeotgalibaca caeni	SPECIES	NCBITaxon:1470540	11				bacdive|lpsn|gold
NCBITaxon:3028708	Streptomyces echiniscabiei	SPECIES	NCBITaxon:1883	11				lpsn|gold
NCBITaxon:3028804	Micromonospora cathayae	SPECIES	NCBITaxon:1873	11				bacdive|lpsn
NCBITaxon:3028852	Merdimmobilis	GENUS	NCBITaxon:216572	11		Hominicola|Phocea		lpsn
NCBITaxon:3028853	Lientehia	GENUS	NCBITaxon:186803	11				lpsn
NCBITaxon:3029055	Gallaecimonas kandeliae	SPECIES	NCBITaxon:745410	11				lpsn|gold
NCBITaxon:3029061	Microbulbifer bruguierae	SPECIES	NCBITaxon:48073	11				lpsn|gold
NCBITaxon:3029078	Aminithiophilus	GENUS	NCBITaxon:3029085	11				lpsn
NCBITaxon:3029084	Aminithiophilus ramosus	SPECIES	NCBITaxon:3029078	11				bacdive|lpsn
NCBITaxon:3029085	Aminithiophilaceae	FAMILY	NCBITaxon:649776	11				
NCBITaxon:3029086	Acetomicrobiaceae	FAMILY	NCBITaxon:649776	11				
NCBITaxon:3029087	Aminobacteriaceae	FAMILY	NCBITaxon:649776	11				
NCBITaxon:3029088	Dethiosulfovibrionaceae	FAMILY	NCBITaxon:649776	11				
NCBITaxon:3029089	Thermovirgaceae	FAMILY	NCBITaxon:649776	11				
NCBITaxon:3029090	Aminiphilaceae	FAMILY	NCBITaxon:649776	11				
NCBITaxon:3029197	Aquabacter sediminis	SPECIES	NCBITaxon:45402	11				gold
NCBITaxon:3029205	Abyssibius	GENUS	NCBITaxon:31989	11				lpsn
NCBITaxon:3029272	Amygdalobacter indicium	SPECIES	NCBITaxon:3079925	11				lpsn|gold
NCBITaxon:3029274	Amygdalobacter nucleatus	SPECIES	NCBITaxon:3079925	11				lpsn|gold
NCBITaxon:3029761	Enterobacter pasteurii	SPECIES	NCBITaxon:354276	11				lpsn|gold
NCBITaxon:3030010	Maribacter huludaoensis	SPECIES	NCBITaxon:252356	11				gold
NCBITaxon:3030012	Maribacter zhoushanensis	SPECIES	NCBITaxon:252356	11				gold
NCBITaxon:3030016	Caproicibacterium argilliputei	SPECIES	NCBITaxon:2834348	11				bacdive|lpsn|gold
NCBITaxon:3030211	Rothia similimucilaginosa	SPECIES	NCBITaxon:32207	11				lpsn|gold
NCBITaxon:3030492	Thalassotalea hakodatensis	SPECIES	NCBITaxon:1518149	11				bacdive|lpsn|gold
NCBITaxon:3030638	Faecalibacterium taiwanense	SPECIES	NCBITaxon:216851	11				bacdive|lpsn|gold
NCBITaxon:3030827	Paludisphaera mucosa	SPECIES	NCBITaxon:1763521	11				lpsn|gold
NCBITaxon:3030829	Sphingomonas pollutisoli	SPECIES	NCBITaxon:13687	11				bacdive|lpsn|gold
NCBITaxon:3030830	Sanguibacter biliveldensis	SPECIES	NCBITaxon:60919	11				lpsn|gold
NCBITaxon:3030833	Marinobacter albus	SPECIES	NCBITaxon:2742	11				lpsn|gold
NCBITaxon:3030834	Sphingobium arseniciresistens	SPECIES	NCBITaxon:165695	11				bacdive|lpsn
NCBITaxon:3030835	Agromyces chromiiresistens	SPECIES	NCBITaxon:33877	11				bacdive|lpsn
NCBITaxon:3030992	Streptomyces sp. NBRC 14336	SPECIES	NCBITaxon:2593676	11				bacdive
NCBITaxon:3030997	Enterobacter chinensis	SPECIES	NCBITaxon:547	11				lpsn
NCBITaxon:3030999	Enterobacter rongchengensis	SPECIES	NCBITaxon:547	11				lpsn
NCBITaxon:3031124	Streptomyces cathayae	SPECIES	NCBITaxon:1883	11				bacdive|lpsn
NCBITaxon:3031126	Pararhizobium qamdonense	SPECIES	NCBITaxon:1612611	11				bacdive|lpsn|gold
NCBITaxon:3031128	Rhizobium mulingense	SPECIES	NCBITaxon:379	11				lpsn|gold
NCBITaxon:3031130	Novosphingobium album (ex Liu et al. 2023)	SPECIES	NCBITaxon:165696	11				gold
NCBITaxon:3031143	Magnetovibrionaceae	FAMILY	NCBITaxon:204441	11				
NCBITaxon:3031144	Dongiaceae	FAMILY	NCBITaxon:204441	11				
NCBITaxon:3031145	Novispirillaceae	FAMILY	NCBITaxon:204441	11				
NCBITaxon:3031147	Oceanibaculaceae	FAMILY	NCBITaxon:204441	11				
NCBITaxon:3031148	Paramagnetospirillum	GENUS	NCBITaxon:3036766	11				lpsn
NCBITaxon:3031239	Tessaracoccus caeni	SPECIES	NCBITaxon:72763	11				bacdive|lpsn|gold
NCBITaxon:3031298	Limnobacter olei	SPECIES	NCBITaxon:131079	11				lpsn|gold
NCBITaxon:3031301	Parachitinimonas caeni	SPECIES	NCBITaxon:3118797	11				bacdive|lpsn|gold
NCBITaxon:3031321	Antiquaquibacter metalliresistens	SPECIES	NCBITaxon:3108736	11		Salinibacterium metalliresistens Liu et al. 2024		bacdive|lpsn|gold
NCBITaxon:3031322	Extensimonas soli	SPECIES	NCBITaxon:1434001	11				lpsn|gold
NCBITaxon:3031324	Flagellimonas okinawensis	SPECIES	NCBITaxon:444459	11		Muricauda okinawensis		lpsn|gold
NCBITaxon:3031325	Flagellimonas yonaguniensis	SPECIES	NCBITaxon:444459	11		Muricauda yonaguniensis		lpsn|gold
NCBITaxon:3031328	Pseudarthrobacter naphthalenicus	SPECIES	NCBITaxon:1742993	11				lpsn|gold
NCBITaxon:3031331	Curvibacter soli	SPECIES	NCBITaxon:281915	11				lpsn|gold
