sample_id	reason
biosample:SAMEA101167168	assembly_unavailable
biosample:SAMEA101170168	assembly_unavailable
biosample:SAMEA101173918	assembly_unavailable
biosample:SAMEA103899850	assembly_unavailable
biosample:SAMEA103899857	assembly_unavailable
biosample:SAMEA103899858	assembly_unavailable
biosample:SAMEA103899859	assembly_unavailable
biosample:SAMEA103899860	assembly_unavailable
biosample:SAMEA103899862	assembly_unavailable
biosample:SAMEA103899863	assembly_unavailable
biosample:SAMEA103924393	assembly_unavailable
biosample:SAMEA103924398	assembly_unavailable
biosample:SAMEA103924404	assembly_unavailable
biosample:SAMEA103924409	assembly_unavailable
biosample:SAMEA103980413	assembly_unavailable
biosample:SAMEA103980421	assembly_unavailable
biosample:SAMEA103980423	assembly_unavailable
biosample:SAMEA103980426	assembly_unavailable
biosample:SAMEA103980427	assembly_unavailable
biosample:SAMEA103980428	assembly_unavailable
biosample:SAMEA103980429	assembly_unavailable
biosample:SAMEA103980430	assembly_unavailable
biosample:SAMEA104016171	assembly_unavailable
biosample:SAMEA104016173	assembly_unavailable
biosample:SAMEA104016175	assembly_unavailable
biosample:SAMEA104016176	assembly_unavailable
biosample:SAMEA104016178	assembly_unavailable
biosample:SAMEA104016180	assembly_unavailable
biosample:SAMEA104016181	assembly_unavailable
biosample:SAMEA104016182	assembly_unavailable
biosample:SAMEA104062567	assembly_unavailable
biosample:SAMEA104062568	assembly_unavailable
biosample:SAMEA104062569	assembly_unavailable
biosample:SAMEA104062571	assembly_unavailable
biosample:SAMEA104062573	assembly_unavailable
biosample:SAMEA104062575	assembly_unavailable
biosample:SAMEA104062577	assembly_unavailable
biosample:SAMEA104062579	assembly_unavailable
biosample:SAMEA104167171	assembly_unavailable
biosample:SAMEA104167175	assembly_unavailable
biosample:SAMEA104167184	assembly_unavailable
biosample:SAMEA104167191	assembly_unavailable
biosample:SAMEA104167194	assembly_unavailable
biosample:SAMEA104167197	assembly_unavailable
biosample:SAMEA104167205	assembly_unavailable
biosample:SAMEA104167206	assembly_unavailable
biosample:SAMEA104167207	assembly_unavailable
